Time	d18O	d18Ostd	d18O_lo	d18O_up
0.0	3.2191375	0.15293254	3.5188853	2.9193897
1.0	3.2225218	0.21149019	3.6370425	2.808001
2.0	3.2228743	0.14270189	3.50257	2.9431786
3.0	3.2689774	0.20398272	3.6687835	2.8691713
4.0	3.2257086	0.1624489	3.5441084	2.9073087
5.0	3.2670175	0.1484718	3.5580222	2.9760127
6.0	3.386693	0.35513635	4.0827603	2.6906258
7.0	3.3074789	0.13439903	3.570901	3.0440568
8.0	3.3797882	0.18511187	3.7426075	3.016969
9.0	3.4621496	0.13000991	3.7169691	3.2073302
10.0	3.5783898	0.29454848	4.1557048	3.0010747
11.0	3.7234217	0.2390647	4.1919885	3.2548548
12.0	3.9248164	0.2946745	4.5023784	3.3472544
13.0	3.9970323	0.16747889	4.325291	3.6687737
14.0	4.139092	0.22007788	4.5704446	3.7077393
15.0	4.1540499	0.38030776	4.8994531	3.4086467
16.0	4.4054279	0.16148005	4.7219288	4.088927
17.0	4.6203798	0.25990049	5.1297848	4.1109749
18.0	4.7196683	0.2695491	5.2479846	4.1913521
19.0	4.8731243	0.18599811	5.2376806	4.508568
20.0	4.8857504	0.17424691	5.2272743	4.5442264
21.0	4.9062064	0.1231492	5.1475789	4.664834
22.0	4.9390424	0.090851491	5.1171113	4.7609735
23.0	4.8900446	0.13304603	5.1508148	4.6292744
24.0	4.8756748	0.12269472	5.1161565	4.6351932
25.0	4.8715222	0.092311575	5.0524529	4.6905915
26.0	4.5739561	0.44331374	5.4428511	3.7050612
27.0	4.8265124	0.14055234	5.101995	4.5510298
28.0	4.789026	0.091568714	4.9685007	4.6095513
29.0	4.7542062	0.13242925	5.0137676	4.4946449
30.0	4.7327011	0.15001699	5.0267344	4.4386678
31.0	4.698808	0.12440142	4.9426348	4.4549812
32.0	4.6779243	0.12322548	4.9194462	4.4364023
33.0	4.6966307	0.18337722	5.0560501	4.3372114
34.0	4.6913777	0.13127186	4.9486706	4.4340849
35.0	4.6352521	0.11736938	4.865296	4.4052081
36.0	4.6258219	0.10047196	4.822747	4.4288969
37.0	4.55412	0.13910807	4.8267718	4.2814682
38.0	4.4824773	0.26608006	5.0039942	3.9609604
39.0	4.549056	0.11161946	4.7678302	4.3302819
40.0	4.5405155	0.13170599	4.7986593	4.2823718
41.0	4.4464015	0.19697072	4.8324641	4.0603389
42.0	4.4988056	0.14923731	4.7913107	4.2063004
43.0	4.5332474	0.10256073	4.7342664	4.3322284
44.0	4.5308738	0.12012596	4.7663207	4.2954269
45.0	4.5223431	0.10473933	4.7276322	4.317054
46.0	4.4707614	0.11867195	4.7033585	4.2381644
47.0	4.4654844	0.092739882	4.6472546	4.2837143
48.0	4.4715546	0.18052911	4.8253916	4.1177175
49.0	4.4430639	0.14665525	4.7305082	4.1556196
50.0	4.3893821	0.16631491	4.7153593	4.0634049
51.0	4.4647026	0.083753628	4.6288597	4.3005455
52.0	4.4517629	0.21776712	4.8785864	4.0249393
53.0	4.4406414	0.14627398	4.7273384	4.1539444
54.0	4.402827	0.079199207	4.5580575	4.2475966
55.0	4.3577355	0.12980316	4.6121497	4.1033213
56.0	4.3168856	0.11056849	4.5335998	4.1001713
57.0	4.3053562	0.1124638	4.5257852	4.0849271
58.0	4.3256683	0.14430868	4.6085133	4.0428233
59.0	4.3419653	0.13573755	4.6080109	4.0759197
60.0	4.3352805	0.12191108	4.5742262	4.0963347
61.0	4.3466494	0.20153525	4.7416585	3.9516404
62.0	4.394027	0.1049686	4.5997654	4.1882885
63.0	4.4191082	0.12881501	4.6715856	4.1666308
64.0	4.3714665	0.23046046	4.823169	3.919764
65.0	4.3758332	0.23388934	4.8342563	3.9174101
66.0	4.5237719	0.11187735	4.7430515	4.3044923
67.0	4.526545	0.15490839	4.8301654	4.2229245
68.0	4.5371161	0.17851763	4.8870106	4.1872215
69.0	4.5530331	0.10402182	4.7569158	4.3491503
70.0	4.5213819	0.12943859	4.7750816	4.2676823
71.0	4.4209904	0.27787963	4.9656344	3.8763463
72.0	4.4688014	0.1285037	4.7206687	4.2169342
73.0	4.4116199	0.11164041	4.6304351	4.1928047
74.0	4.3191474	0.1687829	4.6499619	3.9883329
75.0	4.279544	0.24451233	4.7587882	3.8002999
76.0	4.2439497	0.13509097	4.508728	3.9791714
77.0	4.2347837	0.17581688	4.5793848	3.8901827
78.0	4.1755219	0.1418615	4.4535705	3.8974734
79.0	4.101234	0.20099363	4.4951816	3.7072865
80.0	4.0659856	0.14632677	4.352786	3.7791851
81.0	4.0108933	0.14278893	4.2907595	3.731027
82.0	3.974712	0.21629392	4.3986481	3.5507759
83.0	3.9530709	0.219655	4.3835947	3.5225471
84.0	3.9406676	0.37179925	4.6693941	3.211941
85.0	3.9751974	0.36115213	4.6830556	3.2673392
86.0	3.9454935	0.31473489	4.5623739	3.3286131
87.0	3.9720292	0.2997706	4.5595796	3.3844789
88.0	4.0902159	0.25238517	4.5848909	3.595541
89.0	4.1561102	0.24873486	4.6436306	3.6685899
90.0	4.2166314	0.22739939	4.6623342	3.7709286
91.0	4.1533375	0.16798388	4.4825859	3.8240891
92.0	4.1273858	0.13780361	4.3974809	3.8572907
93.0	4.1097636	0.13227037	4.3690135	3.8505137
94.0	4.0137366	0.15827871	4.3239629	3.7035104
95.0	3.9767095	0.10482677	4.18217	3.771249
96.0	3.9498192	0.14511509	4.2342448	3.6653937
97.0	3.8850961	0.083033119	4.047841	3.7223512
98.0	3.7943983	0.16297536	4.11383	3.4749666
99.0	3.8122626	0.34824991	4.4948324	3.1296928
100.0	3.8091824	0.09797184	4.0012072	3.6171575
101.0	3.8627118	0.16922321	4.1943893	3.5310343
102.0	3.9335529	0.2482957	4.4202125	3.4468933
103.0	3.8702217	0.23476471	4.3303605	3.4100828
104.0	3.8569792	0.14086048	4.1330658	3.5808927
105.0	3.8548748	0.31691098	4.4760203	3.2337293
106.0	3.915972	0.20705994	4.3218095	3.5101345
107.0	3.9266936	0.265741	4.447546	3.4058412
108.0	3.969671	0.26430333	4.4877055	3.4516365
109.0	3.9875663	0.22836435	4.4351604	3.5399722
110.0	3.9949674	0.30232785	4.58753	3.4024048
111.0	4.0380982	0.15282537	4.337636	3.7385605
112.0	4.0408039	0.20242192	4.4375509	3.6440569
113.0	3.9879055	0.24892928	4.4758069	3.5000041
114.0	3.9526396	0.10648096	4.1613423	3.743937
115.0	3.8836636	0.26591796	4.4048629	3.3624644
116.0	3.7489653	0.22012174	4.1804039	3.3175267
117.0	3.622859	0.1806246	3.9768832	3.2688347
118.0	3.597726	0.29508207	4.1760869	3.0193652
119.0	3.3593535	0.14792723	3.6492908	3.0694161
120.0	3.3493186	0.20730191	3.7556303	2.9430068
121.0	3.4410815	0.4502073	4.3234878	2.5586751
122.0	3.1470662	0.11154332	3.3656911	2.9284413
123.0	3.0971023	0.10040089	3.2938881	2.9003166
124.0	3.3172484	0.38810022	4.0779249	2.556572
125.0	3.0637132	0.14391189	3.3457805	2.7816459
126.0	3.1312868	0.18395315	3.4918349	2.7707386
127.0	3.3791635	0.36182792	4.0883462	2.6699808
128.0	3.5735293	0.46965141	4.4940461	2.6530126
129.0	3.9837914	0.56891809	5.0988709	2.868712
130.0	3.8400052	0.37881445	4.5824816	3.0975289
131.0	4.0252719	0.26408819	4.5428848	3.5076591
132.0	4.2973203	0.22709735	4.7424311	3.8522095
133.0	4.3849491	0.38223445	5.1341286	3.6357696
134.0	4.6110158	0.22858304	5.0590386	4.1629931
