Time	SpeleoTime	GLT_syn_hi	GLT_syn_lo	GLT_syn
5.00	4.95	-0.38	-35.41	-35.79
5.05	5.00	-0.34	-35.42	-35.76
5.10	5.05	-0.21	-35.42	-35.63
5.15	5.10	-0.21	-35.42	-35.63
5.20	5.15	-0.21	-35.43	-35.64
5.25	5.20	-0.25	-35.43	-35.69
5.30	5.25	-0.30	-35.43	-35.73
5.35	5.30	-0.36	-35.44	-35.80
5.40	5.35	-0.45	-35.44	-35.89
5.45	5.40	-0.14	-35.45	-35.58
5.50	5.45	-0.04	-35.45	-35.49
5.55	5.50	0.24	-35.45	-35.21
5.60	5.55	0.14	-35.46	-35.32
5.65	5.60	0.10	-35.46	-35.37
5.70	5.65	0.09	-35.46	-35.38
5.75	5.70	0.00	-35.47	-35.47
5.80	5.75	-0.15	-35.47	-35.62
5.85	5.80	-0.28	-35.48	-35.76
5.90	5.85	-0.43	-35.48	-35.91
5.95	5.89	-0.46	-35.49	-35.95
6.00	5.94	-0.42	-35.49	-35.91
6.05	5.99	-0.38	-35.50	-35.87
6.10	6.04	-0.43	-35.50	-35.93
6.15	6.09	-0.63	-35.50	-36.14
6.20	6.14	-0.63	-35.51	-36.14
6.25	6.19	-0.78	-35.51	-36.29
6.30	6.24	-0.68	-35.52	-36.19
6.35	6.29	-0.64	-35.52	-36.16
6.40	6.34	-0.52	-35.53	-36.05
6.45	6.39	-0.48	-35.53	-36.02
6.50	6.44	-0.68	-35.54	-36.22
6.55	6.49	-0.69	-35.54	-36.24
6.60	6.54	-0.58	-35.55	-36.13
6.65	6.59	-0.32	-35.55	-35.87
6.70	6.64	-0.34	-35.56	-35.89
6.75	6.69	-0.52	-35.56	-36.09
6.80	6.74	-0.41	-35.57	-35.98
6.85	6.79	-0.26	-35.58	-35.84
6.90	6.84	-0.37	-35.58	-35.95
6.95	6.89	-0.44	-35.59	-36.03
7.00	6.94	-0.39	-35.59	-35.98
7.05	6.98	-0.35	-35.60	-35.95
