% Supplement to Berends, C. J., de Boer, B., and van de Wal, R. S. W.: Reconstructing 
% the Evolution of Ice Sheets, Sea Level and Atmospheric CO2 During the Past 
% 3.6 Million Years, Clim. Past Discuss., https://doi.org/10.5194/cp-2020-52, in review, 2020
%
% Results from three separate simulations of the last 3.6 Myr with the hybrid ice-sheet - climate model.
%
% SL   = Global mean sea-level (m w.r.t. PD)
% pCO2 = Atmospheric CO2 concentration (ppmv)
%
% Time (kyr ago)    SL   SL_lower   SL_upper     pCO2   pCO2_lower   pCO2_upper
-3599.9          -0.18      -0.18      -0.18     317.73     301.28       334.17
-3599.8          -0.17      -0.28      -0.14     318.62     302.14       335.17
-3599.7          -0.12      -0.35      -0.06     318.61     302.32       335.23
-3599.6          -0.04      -0.39       0.04     318.45     302.33       335.15
-3599.5           0.06      -0.40       0.18     318.39     302.43       335.14
-3599.4           0.17      -0.39       0.30     318.32     302.51       335.13
-3599.3           0.27      -0.38       0.42     318.25     302.56       335.13
-3599.2           0.37      -0.36       0.54     318.17     302.60       335.11
-3599.1           0.47      -0.34       0.66     317.97     302.52       334.98
-3599.0           0.56      -0.32       0.76     317.89     302.59       334.98
-3598.9           0.64      -0.31       0.85     317.83     302.63       335.02
-3598.8           0.72      -0.28       0.92     317.68     302.59       334.97
-3598.7           0.79      -0.24       1.00     317.65     302.67       335.04
-3598.6           0.85      -0.22       1.07     317.51     302.65       334.99
-3598.5           0.92      -0.20       1.15     317.49     302.76       335.05
-3598.4           0.99      -0.17       1.24     317.33     302.72       335.00
-3598.3           1.05      -0.13       1.33     317.32     302.79       335.05
-3598.2           1.11      -0.11       1.42     317.19     302.76       334.98
-3598.1           1.17      -0.09       1.50     317.17     302.87       335.06
-3598.0           1.24      -0.06       1.58     317.02     302.86       335.05
-3597.9           1.30      -0.05       1.64     316.90     302.86       335.03
-3597.8           1.36      -0.03       1.71     316.92     303.02       335.15
-3597.7           1.42      -0.02       1.77     316.83     303.06       335.15
-3597.6           1.48      -0.00       1.83     316.74     303.08       335.17
-3597.5           1.53       0.02       1.89     316.64     303.12       335.18
-3597.4           1.58       0.03       1.95     316.57     303.17       335.19
-3597.3           1.62       0.04       2.00     316.50     303.22       335.22
-3597.2           1.66       0.05       2.06     316.43     303.26       335.23
-3597.1           1.70       0.07       2.12     316.35     303.32       335.26
-3597.0           1.76       0.09       2.16     316.25     303.37       335.30
-3596.9           1.80       0.10       2.21     316.17     303.42       335.34
-3596.8           1.84       0.12       2.26     315.56     302.95       334.79
-3596.7           1.89       0.13       2.29     315.89     303.25       335.27
-3596.6           1.95       0.14       2.33     316.09     303.47       335.67
-3596.5           2.00       0.14       2.37     316.43     303.81       336.18
-3596.4           2.04       0.15       2.40     316.67     304.03       336.59
-3596.3           2.07       0.16       2.42     317.03     304.37       337.12
-3596.2           2.10       0.16       2.45     317.28     304.59       337.53
-3596.1           2.13       0.17       2.48     317.52     304.82       337.95
-3596.0           2.17       0.18       2.51     317.76     305.05       338.38
-3595.9           2.20       0.19       2.54     318.03     305.27       338.81
-3595.8           2.23       0.19       2.56     318.28     305.50       339.21
-3595.7           2.25       0.19       2.58     318.55     305.73       339.65
-3595.6           2.27       0.19       2.61     318.83     305.94       340.09
-3595.5           2.30       0.20       2.62     319.10     306.15       340.52
-3595.4           2.32       0.21       2.64     319.38     306.36       340.98
-3595.3           2.34       0.21       2.66     319.55     306.45       341.30
