Time	Iso_tot	Iso_ice	Iso_do	Tsurf	Tdo	Ice_eas	Ice_nam	RSL
0	-0.0029	0.0102	-0.0131	-0.0479	0.057	1.164	0.1107	1.459
0.1001	-0.0035	0.0104	-0.0139	-0.0614	0.0604	1.207	0.1091	1.507
0.2	-0.0039	0.0108	-0.0147	-0.0665	0.0638	1.238	0.1078	1.541
0.3	-0.0043	0.0111	-0.0154	-0.0707	0.067	1.281	0.1101	1.593
0.3999	-0.0047	0.0114	-0.0161	-0.0694	0.0699	1.323	0.1104	1.641
0.5	-0.0049	0.0118	-0.0167	-0.0584	0.0724	1.369	0.1117	1.696
0.6001	-0.0051	0.012	-0.0171	-0.0459	0.0744	1.421	0.1115	1.756
0.7	-0.005	0.0124	-0.0174	-0.0174	0.0756	1.461	0.1128	1.803
0.8	-0.0046	0.0128	-0.0174	0.0347	0.0758	1.506	0.1149	1.843
0.8999	-0.0039	0.0133	-0.0172	0.1027	0.0747	1.57	0.1147	1.906
1	-0.0029	0.0138	-0.0167	0.158	0.0724	1.629	0.1147	1.963
1.1001	-0.0016	0.0143	-0.0159	0.2112	0.0691	1.694	0.1173	2.035
1.2	-0.0002	0.0147	-0.0149	0.2384	0.065	1.773	0.1168	2.117
1.3	0.0015	0.0153	-0.0138	0.2824	0.06	1.838	0.1174	2.185
1.3999	0.0032	0.0157	-0.0125	0.315	0.0543	1.909	0.1173	2.258
1.5	0.0053	0.0164	-0.0111	0.3617	0.0481	1.97	0.1204	2.327
1.6001	0.0074	0.0169	-0.0095	0.3881	0.0414	2.046	0.1231	2.413
1.7	0.0096	0.0176	-0.008	0.4061	0.0347	2.123	0.1279	2.492
1.8	0.0118	0.0181	-0.0063	0.4843	0.0276	2.212	0.1274	2.581
1.8999	0.014	0.0187	-0.0047	0.544	0.0203	2.291	0.131	2.674
2	0.0162	0.0193	-0.0031	0.5563	0.0137	2.362	0.1332	2.757
2.1001	0.0183	0.02	-0.0017	0.5625	0.0074	2.454	0.1329	2.866
2.2	0.0202	0.0206	-0.0004	0.542	0.0018	2.536	0.138	2.969
2.3	0.0219	0.0212	0.0007	0.5275	-0.0031	2.602	0.1392	3.05
2.3999	0.0237	0.022	0.0017	0.5112	-0.0075	2.674	0.1438	3.142
2.5	0.0252	0.0226	0.0026	0.4906	-0.0112	2.765	0.148	3.258
2.6001	0.0266	0.0233	0.0033	0.4631	-0.0143	2.842	0.1549	3.357
2.7	0.0279	0.0239	0.004	0.4476	-0.0172	2.932	0.1549	3.462
2.8	0.0294	0.0248	0.0046	0.4401	-0.0199	3.015	0.1606	3.565
2.8999	0.0308	0.0255	0.0053	0.4319	-0.0229	3.113	0.1666	3.682
3	0.0324	0.0264	0.006	0.4456	-0.0261	3.201	0.1709	3.787
3.1001	0.0342	0.0273	0.0069	0.4504	-0.0298	3.297	0.1858	3.919
3.2	0.0359	0.0281	0.0078	0.4327	-0.0339	3.401	0.2002	4.059
3.3	0.0378	0.0289	0.0089	0.409	-0.0386	3.487	0.212	4.179
3.3999	0.0399	0.0298	0.0101	0.3729	-0.0438	3.571	0.2245	4.301
3.5	0.042	0.0307	0.0113	0.3197	-0.0493	3.65	0.2518	4.438
3.6001	0.0441	0.0314	0.0127	0.2466	-0.0552	3.727	0.2687	4.563
3.7	0.0463	0.0322	0.0141	0.1612	-0.0614	3.804	0.2853	4.691
3.8	0.0486	0.033	0.0156	0.0607	-0.0677	3.885	0.2992	4.808
3.8999	0.0508	0.0338	0.017	-0.057	-0.0739	3.963	0.3198	4.922
4	0.0531	0.0347	0.0184	-0.1823	-0.0801	4.03	0.3388	5.021
