Age [ka BP] (Catunda et al., 2021)	SST [°C] (Naafs et al., 2012, original ...)	Age [ka BP] (Catunda et al., 2021)	SST [°C] (linearly interpolated to matc...)	SubT [°C]	delta T [°C] (SST-Sub-ST, Calculated)
542.78	16.31	543.09	16.42	5.68	10.74
543.15	16.44	545.90	16.37	4.45	11.91
543.53	16.36	547.41	16.51	4.82	11.69
543.90	17.16	548.49	16.35	5.88	10.46
544.27	15.72	551.29	14.55	4.34	10.20
544.64	16.30	552.81	14.97	6.35	8.62
545.01	16.22	552.81	14.97	4.49	10.48
545.40	16.31	553.89	15.93	6.62	9.32
546.03	16.38	553.89	15.93	2.44	13.49
546.45	16.11	554.75	15.28	5.47	9.81
546.87	16.38	555.61	16.77	6.11	10.65
547.28	16.54	555.61	16.77	4.85	11.92
547.70	16.45	556.69	14.89	8.36	6.53
548.12	16.81	556.69	14.89	5.30	9.59
548.54	16.28	558.20	15.06	4.62	10.43
548.96	16.49	559.28	14.99	3.69	11.30
549.37	15.99	560.15	14.41	4.85	9.56
550.00	15.09	561.23	13.86	4.52	9.34
550.42	15.69	562.52	12.21	5.03	7.18
550.84	14.23	564.68	14.12	5.85	8.28
551.26	14.57	565.33	14.42	6.56	7.86
551.67	14.29	566.41	15.80	4.68	11.12
552.09	15.20	569.00	16.73	6.05	10.68
552.51	15.05	570.08	15.68	7.14	8.54
552.93	14.93	570.73	14.94	4.88	10.06
553.56	15.90	571.81	14.93	7.95	6.99
553.98	15.94	572.88	13.80	7.04	6.76
554.39	16.76	574.29	17.24	7.41	9.83
554.81	15.03	575.37	16.77	6.58	10.19
555.23	15.02	575.37	16.77	6.99	9.78
555.65	16.94	576.12	17.59	6.41	11.18
556.07	16.81	577.20	16.16	8.06	8.10
556.48	16.18	578.28	17.74	7.03	10.71
556.90	13.63	582.49	12.29	7.13	5.16
557.53	15.42	585.13	15.50	9.37	6.13
557.95	15.25	591.62	17.00	4.64	12.36
558.37	14.93	593.15	15.07	3.14	11.92
558.79	14.90	594.87	17.58	3.04	14.54
559.20	15.05	596.90	16.89	2.80	14.09
560.04	14.42	598.73	16.01	3.23	12.78
560.46	14.37	599.94	16.27	4.22	12.05
561.09	14.12	600.96	16.15	4.56	11.59
