Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
0	0.14	0.33	-0.05	0.12	0.32	-0.07	0.21	0.63	-0.21
0.00105	-0.13	0.02	-0.28	-0.16	-0.01	-0.31	-0.22	0.16	-0.60
0.00205	-0.01	0.09	-0.11	0.00	0.10	-0.11	0.01	0.36	-0.34
0.00305	0.06	0.15	-0.02	0.07	0.16	-0.02	0.11	0.45	-0.23
0.00405	-0.03	0.09	-0.16	-0.01	0.12	-0.13	-0.07	0.29	-0.43
0.00505	-0.02	0.14	-0.19	-0.03	0.14	-0.20	-0.05	0.35	-0.44
0.00605	-0.08	0.09	-0.26	-0.09	0.09	-0.26	-0.14	0.26	-0.54
0.00705	0.02	0.20	-0.16	0.01	0.20	-0.17	0.03	0.44	-0.38
0.00805	-0.05	0.15	-0.26	-0.12	0.09	-0.33	-0.09	0.34	-0.52
0.00905	-0.17	0.06	-0.41	-0.24	0.00	-0.48	-0.29	0.17	-0.75
0.01005	-0.53	-0.26	-0.80	-0.58	-0.30	-0.85	-0.88	-0.37	-1.39
0.01105	-0.75	-0.48	-1.02	-0.76	-0.48	-1.04	-1.26	-0.75	-1.77
0.01205	-1.23	-0.98	-1.49	-1.23	-0.96	-1.49	-2.10	-1.60	-2.59
0.01305	-1.68	-1.41	-1.95	-1.66	-1.38	-1.93	-2.89	-2.38	-3.40
0.01405	-1.94	-1.67	-2.21	-1.90	-1.62	-2.19	-3.37	-2.86	-3.88
0.01505	-2.34	-2.04	-2.65	-2.30	-1.98	-2.61	-4.13	-3.58	-4.68
0.01605	-2.66	-2.29	-3.03	-2.60	-2.22	-2.98	-4.73	-4.09	-5.37
0.01705	-2.82	-2.41	-3.24	-2.76	-2.33	-3.18	-5.05	-4.35	-5.75
0.01805	-2.93	-2.53	-3.32	-2.85	-2.44	-3.26	-5.25	-4.58	-5.93
0.01905	-3.15	-2.77	-3.53	-3.07	-2.67	-3.47	-5.69	-5.04	-6.34
0.02005	-3.13	-2.78	-3.48	-3.05	-2.69	-3.41	-5.65	-5.04	-6.26
0.02105	-3.04	-2.67	-3.41	-2.99	-2.61	-3.37	-5.48	-4.84	-6.12
0.02205	-3.08	-2.70	-3.47	-3.02	-2.62	-3.42	-5.56	-4.90	-6.22
0.023	-3.20	-2.81	-3.58	-3.13	-2.73	-3.52	-5.79	-5.13	-6.44
0.024	-3.17	-2.81	-3.52	-3.05	-2.68	-3.42	-5.72	-5.11	-6.34
0.025	-3.17	-2.86	-3.48	-3.06	-2.73	-3.39	-5.74	-5.18	-6.30
0.026	-3.27	-2.92	-3.61	-3.15	-2.79	-3.51	-5.93	-5.33	-6.53
0.027	-3.29	-2.92	-3.67	-3.18	-2.79	-3.58	-5.98	-5.33	-6.62
0.028	-3.11	-2.77	-3.46	-3.01	-2.65	-3.37	-5.62	-5.02	-6.22
0.029	-3.00	-2.76	-3.24	-2.89	-2.63	-3.15	-5.39	-4.92	-5.87
0.03	-3.13	-2.88	-3.38	-3.06	-2.79	-3.33	-5.65	-5.18	-6.13
0.031	-3.12	-2.86	-3.39	-3.06	-2.78	-3.34	-5.64	-5.14	-6.14
0.032	-2.92	-2.68	-3.15	-2.87	-2.61	-3.13	-5.24	-4.77	-5.70
0.033	-2.97	-2.72	-3.22	-2.91	-2.64	-3.19	-5.34	-4.85	-5.83
0.034	-2.99	-2.77	-3.22	-2.93	-2.68	-3.18	-5.38	-4.92	-5.83
0.035	-2.91	-2.71	-3.12	-2.85	-2.62	-3.09	-5.23	-4.79	-5.67
0.036	-3.05	-2.84	-3.27	-3.00	-2.76	-3.23	-5.50	-5.05	-5.95
0.037	-3.15	-2.92	-3.38	-3.07	-2.81	-3.32	-5.69	-5.23	-6.16
0.038	-3.09	-2.85	-3.34	-3.01	-2.75	-3.28	-5.58	-5.10	-6.06
0.039	-3.20	-2.92	-3.47	-3.10	-2.81	-3.39	-5.78	-5.27	-6.30
0.04	-3.08	-2.85	-3.31	-2.98	-2.73	-3.23	-5.55	-5.09	-6.01
0.041	-3.06	-2.83	-3.30	-2.96	-2.71	-3.21	-5.52	-5.05	-5.99
0.042	-3.01	-2.79	-3.23	-2.90	-2.66	-3.14	-5.42	-4.96	-5.87
0.043	-2.85	-2.65	-3.06	-2.76	-2.53	-2.98	-5.11	-4.67	-5.54
0.044	-2.90	-2.69	-3.10	-2.78	-2.55	-3.01	-5.19	-4.76	-5.62
0.045	-2.85	-2.63	-3.07	-2.74	-2.50	-2.97	-5.10	-4.65	-5.55
0.046	-3.00	-2.76	-3.24	-2.85	-2.59	-3.10	-5.40	-4.93	-5.87
0.047	-3.02	-2.80	-3.24	-2.87	-2.64	-3.10	-5.44	-4.99	-5.88
0.048	-2.94	-2.71	-3.16	-2.82	-2.58	-3.06	-5.27	-4.82	-5.73
0.049	-2.74	-2.54	-2.94	-2.64	-2.42	-2.86	-4.89	-4.46	-5.32
0.05	-2.70	-2.49	-2.92	-2.61	-2.37	-2.85	-4.82	-4.37	-5.26
0.051	-2.58	-2.36	-2.81	-2.55	-2.32	-2.78	-4.59	-4.13	-5.04
0.052	-2.63	-2.41	-2.85	-2.58	-2.36	-2.80	-4.68	-4.23	-5.13
0.053	-2.71	-2.48	-2.95	-2.66	-2.43	-2.89	-4.84	-4.37	-5.30
0.054	-2.62	-2.39	-2.86	-2.58	-2.34	-2.81	-4.66	-4.19	-5.13
0.055	-2.61	-2.37	-2.85	-2.58	-2.35	-2.82	-4.63	-4.16	-5.10
0.056	-2.60	-2.37	-2.82	-2.56	-2.34	-2.78	-4.61	-4.16	-5.06
0.057	-2.65	-2.41	-2.89	-2.62	-2.39	-2.85	-4.71	-4.24	-5.18
0.058	-2.81	-2.56	-3.05	-2.74	-2.50	-2.98	-5.02	-4.54	-5.49
0.059	-2.85	-2.62	-3.08	-2.77	-2.54	-2.99	-5.10	-4.64	-5.56
0.06	-2.98	-2.73	-3.22	-2.90	-2.65	-3.14	-5.35	-4.87	-5.83
0.061	-2.93	-2.67	-3.19	-2.85	-2.59	-3.10	-5.27	-4.77	-5.76
0.062	-3.02	-2.79	-3.24	-2.93	-2.71	-3.16	-5.43	-4.97	-5.89
0.063	-3.14	-2.82	-3.45	-3.07	-2.75	-3.38	-5.67	-5.11	-6.24
0.064	-3.01	-2.72	-3.29	-2.95	-2.66	-3.23	-5.41	-4.88	-5.93
0.065	-2.97	-2.65	-3.30	-2.91	-2.58	-3.24	-5.34	-4.77	-5.92
0.066	-3.01	-2.69	-3.34	-2.95	-2.62	-3.27	-5.42	-4.85	-6.00
0.067	-2.87	-2.58	-3.16	-2.81	-2.52	-3.10	-5.14	-4.61	-5.67
0.068	-2.75	-2.49	-3.01	-2.71	-2.44	-2.97	-4.91	-4.41	-5.41
0.069	-2.66	-2.42	-2.91	-2.62	-2.38	-2.86	-4.74	-4.26	-5.22
0.07	-2.52	-2.26	-2.78	-2.49	-2.23	-2.75	-4.46	-3.97	-4.96
0.071	-2.37	-2.10	-2.65	-2.35	-2.07	-2.62	-4.18	-3.67	-4.70
0.072	-2.28	-2.00	-2.57	-2.26	-1.97	-2.54	-4.01	-3.48	-4.54
0.073	-2.00	-1.74	-2.26	-1.99	-1.73	-2.25	-3.49	-2.99	-3.99
0.074	-1.88	-1.63	-2.13	-1.88	-1.63	-2.13	-3.26	-2.77	-3.74
0.075	-1.68	-1.42	-1.93	-1.69	-1.43	-1.94	-2.89	-2.40	-3.38
0.076	-1.61	-1.35	-1.87	-1.62	-1.37	-1.88	-2.77	-2.27	-3.26
0.077	-1.64	-1.41	-1.88	-1.66	-1.43	-1.89	-2.83	-2.36	-3.29
0.078	-1.61	-1.36	-1.86	-1.62	-1.37	-1.87	-2.77	-2.28	-3.25
0.079	-1.41	-1.17	-1.64	-1.42	-1.19	-1.65	-2.40	-1.94	-2.87
0.08	-1.15	-0.93	-1.38	-1.19	-0.96	-1.41	-1.95	-1.50	-2.41
0.081	-1.08	-0.86	-1.30	-1.12	-0.91	-1.34	-1.82	-1.37	-2.27
