Age (Ma)	NH extratropics SST (oC)	NH extratropics SST +1 stdev	NH extratropics SST -1 stdev
0	-0.41	-0.01	-0.80
0.001	-0.16	0.24	-0.57
0.002	0.09	0.32	-0.14
0.003	0.29	0.50	0.09
0.004	0.18	0.34	0.03
0.005	0.00	0.25	-0.24
0.006	0.00	0.19	-0.18
0.007	0.27	0.48	0.05
0.008	0.13	0.31	-0.05
0.009	-0.03	0.19	-0.26
0.01	-1.00	-0.66	-1.33
0.011	-1.70	-1.24	-2.15
0.012	-2.57	-2.19	-2.95
0.013	-3.14	-2.71	-3.57
0.014	-3.65	-2.94	-4.36
0.015	-3.99	-3.27	-4.71
0.016	-4.49	-3.61	-5.37
0.017	-4.13	-3.24	-5.02
0.018	-3.97	-3.25	-4.70
0.019	-4.01	-3.27	-4.75
0.02	-3.97	-3.23	-4.72
0.021	-3.89	-3.13	-4.65
0.022	-3.98	-3.26	-4.71
0.023	-4.29	-3.62	-4.95
0.024	-4.43	-3.71	-5.16
0.025	-4.46	-3.81	-5.10
0.026	-4.85	-4.08	-5.61
0.027	-4.34	-3.66	-5.02
0.028	-4.41	-3.80	-5.03
0.029	-4.19	-3.57	-4.82
0.03	-4.44	-3.79	-5.08
0.031	-4.14	-3.44	-4.84
0.032	-3.49	-3.01	-3.98
0.033	-3.57	-3.04	-4.11
0.034	-3.90	-3.30	-4.50
0.035	-3.67	-3.19	-4.14
0.036	-4.09	-3.52	-4.67
0.037	-4.33	-3.79	-4.88
0.038	-4.11	-3.57	-4.65
0.039	-4.73	-4.00	-5.46
0.04	-4.23	-3.70	-4.75
0.041	-3.50	-2.92	-4.08
0.042	-3.25	-2.79	-3.71
0.043	-3.11	-2.68	-3.55
0.044	-3.40	-2.90	-3.91
0.045	-3.20	-2.66	-3.73
0.046	-4.20	-3.51	-4.89
0.047	-3.97	-3.26	-4.68
0.048	-3.22	-2.76	-3.68
0.049	-2.58	-2.16	-3.01
0.05	-2.56	-2.14	-2.98
0.051	-2.63	-2.18	-3.08
