Age	d18OT	sigma
0.000	3.18	0.06
0.001	3.25	0.05
0.002	3.22	0.03
0.003	3.20	0.03
0.004	3.22	0.04
0.005	3.22	0.06
0.006	3.23	0.06
0.007	3.21	0.06
0.008	3.23	0.07
0.009	3.26	0.08
0.010	3.35	0.10
0.011	3.40	0.10
0.012	3.52	0.09
0.013	3.63	0.10
0.014	3.70	0.09
0.015	3.80	0.11
0.016	3.88	0.14
0.017	3.92	0.16
0.018	3.95	0.15
0.019	4.00	0.15
0.020	4.00	0.13
0.021	3.97	0.14
0.022	3.98	0.15
0.023	4.01	0.15
0.024	4.01	0.13
0.025	4.01	0.12
0.026	4.03	0.13
0.027	4.04	0.14
0.028	3.99	0.13
0.029	3.96	0.08
0.030	4.00	0.09
0.031	4.00	0.09
0.032	3.94	0.08
0.033	3.96	0.09
0.034	3.96	0.08
0.035	3.94	0.07
0.036	3.98	0.07
0.037	4.00	0.08
0.038	3.99	0.09
0.039	4.01	0.10
0.040	3.98	0.08
0.041	3.98	0.08
0.042	3.97	0.07
0.043	3.93	0.07
0.044	3.94	0.06
0.045	3.93	0.07
0.046	3.96	0.08
0.047	3.97	0.06
0.048	3.95	0.07
0.049	3.90	0.06
0.050	3.89	0.07
0.051	3.86	0.07
0.052	3.87	0.07
0.053	3.89	0.07
0.054	3.87	0.08
0.055	3.87	0.08
0.056	3.86	0.07
0.057	3.88	0.08
0.058	3.92	0.08
0.059	3.93	0.07
0.060	3.96	0.08
0.061	3.95	0.08
0.062	3.97	0.07
0.063	4.00	0.11
0.064	3.97	0.10
0.065	3.96	0.12
0.066	3.97	0.12
0.067	3.93	0.10
0.068	3.90	0.09
0.069	3.88	0.08
0.070	3.84	0.09
0.071	3.81	0.10
0.072	3.79	0.10
0.073	3.71	0.09
0.074	3.68	0.09
0.075	3.63	0.09
0.076	3.62	0.09
0.077	3.62	0.08
0.078	3.62	0.09
0.079	3.57	0.08
0.080	3.50	0.07
0.081	3.48	0.07
0.082	3.48	0.08
0.083	3.48	0.07
0.084	3.50	0.09
0.085	3.53	0.09
0.086	3.53	0.09
0.087	3.57	0.09
0.088	3.56	0.09
0.089	3.55	0.10
0.090	3.51	0.10
0.091	3.50	0.10
0.092	3.48	0.10
0.093	3.46	0.10
0.094	3.45	0.10
0.095	3.43	0.10
0.096	3.40	0.10
0.097	3.38	0.12
0.098	3.36	0.09
0.099	3.37	0.10
0.100	3.33	0.11
0.101	3.34	0.11
0.102	3.34	0.11
0.103	3.33	0.10
0.104	3.31	0.09
0.105	3.34	0.09
0.106	3.39	0.10
0.107	3.44	0.10
0.108	3.46	0.09
0.109	3.44	0.08
0.110	3.46	0.09
0.111	3.45	0.10
0.112	3.39	0.09
0.113	3.39	0.10
0.114	3.38	0.11
0.115	3.38	0.12
0.116	3.35	0.12
0.117	3.30	0.10
0.118	3.25	0.10
0.119	3.23	0.09
0.120	3.18	0.07
0.121	3.13	0.08
0.122	3.10	0.07
0.123	3.08	0.08
0.124	3.05	0.08
0.125	3.05	0.08
0.126	3.05	0.11
0.127	3.05	0.11
0.128	3.10	0.12
0.129	3.15	0.17
0.130	3.28	0.17
0.131	3.47	0.15
0.132	3.52	0.15
0.133	3.60	0.16
0.134	3.65	0.15
0.135	3.70	0.14
0.136	3.71	0.11
0.137	3.74	0.11
0.138	3.77	0.10
0.139	3.80	0.09
0.140	3.79	0.10
0.141	3.79	0.10
0.142	3.81	0.13
0.143	3.81	0.15
0.144	3.84	0.16
0.145	3.82	0.13
0.146	3.79	0.11
0.147	3.81	0.12
0.148	3.82	0.10
0.149	3.82	0.09
0.150	3.84	0.11
0.151	3.82	0.10
0.152	3.80	0.09
0.153	3.83	0.13
0.154	3.91	0.14
0.155	3.94	0.14
0.156	3.93	0.14
0.157	3.98	0.14
0.158	3.96	0.14
0.159	3.94	0.12
0.160	3.86	0.11
0.161	3.81	0.11
0.162	3.86	0.10
0.163	3.85	0.09
0.164	3.83	0.08
0.165	3.83	0.10
0.166	3.84	0.12
0.167	3.87	0.11
0.168	3.90	0.11
0.169	3.81	0.10
0.170	3.79	0.08
0.171	3.77	0.07
0.172	3.80	0.10
0.173	3.79	0.10
0.174	3.80	0.11
0.175	3.81	0.14
0.176	3.77	0.15
0.177	3.78	0.16
0.178	3.79	0.14
0.179	3.75	0.11
0.180	3.74	0.10
0.181	3.78	0.10
0.182	3.81	0.11
0.183	3.79	0.10
0.184	3.75	0.10
0.185	3.73	0.10
0.186	3.73	0.10
0.187	3.71	0.09
0.188	3.68	0.09
0.189	3.67	0.08
0.190	3.66	0.09
0.191	3.62	0.08
0.192	3.56	0.10
0.193	3.59	0.11
0.194	3.59	0.11
0.195	3.58	0.10
0.196	3.56	0.10
0.197	3.53	0.10
0.198	3.48	0.09
0.199	3.46	0.09
0.200	3.45	0.09
0.201	3.43	0.09
0.202	3.41	0.08
0.203	3.39	0.08
0.204	3.40	0.09
0.205	3.41	0.08
0.206	3.41	0.09
0.207	3.40	0.09
0.208	3.37	0.09
0.209	3.37	0.10
0.210	3.37	0.11
0.211	3.36	0.11
0.212	3.35	0.12
0.213	3.33	0.13
0.214	3.36	0.12
0.215	3.37	0.11
0.216	3.37	0.11
0.217	3.41	0.11
0.218	3.46	0.10
0.219	3.55	0.10
0.220	3.60	0.10
0.221	3.62	0.10
0.222	3.66	0.10
0.223	3.68	0.10
0.224	3.67	0.10
0.225	3.67	0.10
0.226	3.67	0.10
0.227	3.66	0.11
0.228	3.66	0.11
0.229	3.66	0.11
0.230	3.65	0.11
0.231	3.62	0.10
0.232	3.58	0.11
0.233	3.58	0.12
0.234	3.57	0.12
0.235	3.55	0.12
0.236	3.51	0.12
0.237	3.45	0.12
0.238	3.42	0.13
0.239	3.38	0.13
0.240	3.37	0.13
0.241	3.39	0.12
0.242	3.45	0.13
0.243	3.51	0.12
0.244	3.54	0.12
0.245	3.53	0.13
0.246	3.62	0.11
0.247	3.68	0.11
0.248	3.73	0.10
0.249	3.77	0.10
0.250	3.79	0.09
0.251	3.82	0.10
0.252	3.80	0.09
0.253	3.83	0.10
0.254	3.84	0.10
0.255	3.83	0.10
0.256	3.83	0.10
0.257	3.82	0.10
0.258	3.82	0.09
0.259	3.82	0.09
0.260	3.84	0.09
0.261	3.85	0.09
0.262	3.89	0.11
0.263	3.85	0.10
0.264	3.88	0.11
0.265	3.88	0.11
0.266	3.88	0.11
0.267	3.91	0.12
0.268	3.94	0.13
0.269	3.98	0.13
0.270	3.94	0.13
0.271	3.91	0.14
0.272	3.90	0.14
0.273	3.95	0.15
0.274	3.92	0.14
0.275	3.89	0.14
0.276	3.89	0.14
0.277	3.85	0.14
0.278	3.82	0.13
0.279	3.81	0.13
0.280	3.78	0.13
0.281	3.78	0.13
0.282	3.73	0.12
0.283	3.67	0.12
