Age	d18Osw	sigma
0	0.00	0.28
0.001	-0.06	0.32
0.002	0.02	0.30
0.003	-0.03	0.29
0.004	0.02	0.28
0.005	0.08	0.31
0.006	0.06	0.29
0.007	0.15	0.29
0.008	0.22	0.33
0.009	0.27	0.31
0.01	0.30	0.32
0.011	0.48	0.33
0.012	0.40	0.35
0.013	0.52	0.39
0.014	0.51	0.31
0.015	0.66	0.40
0.016	0.77	0.33
0.017	0.78	0.40
0.018	0.85	0.37
0.019	0.98	0.30
0.02	0.94	0.30
0.021	0.96	0.28
0.022	0.92	0.29
0.023	0.91	0.28
0.024	0.83	0.30
0.025	0.84	0.28
0.026	0.80	0.28
0.027	0.74	0.30
0.028	0.83	0.27
0.029	0.70	0.34
0.03	0.75	0.27
0.031	0.70	0.28
0.032	0.71	0.28
0.033	0.76	0.28
0.034	0.70	0.27
0.035	0.69	0.27
0.036	0.63	0.27
0.037	0.60	0.28
0.038	0.46	0.35
0.039	0.53	0.27
0.04	0.53	0.27
0.041	0.48	0.31
0.042	0.52	0.27
0.043	0.55	0.29
0.044	0.57	0.27
0.045	0.59	0.28
0.046	0.46	0.32
0.047	0.46	0.31
0.048	0.53	0.28
0.049	0.63	0.27
0.05	0.51	0.27
0.051	0.62	0.26
0.052	0.54	0.27
0.053	0.50	0.27
0.054	0.54	0.30
0.055	0.34	0.27
0.056	0.48	0.28
0.057	0.45	0.29
0.058	0.36	0.30
0.059	0.38	0.30
0.06	0.43	0.28
0.061	0.47	0.27
0.062	0.34	0.32
0.063	0.34	0.29
0.064	0.39	0.33
0.065	0.56	0.29
0.066	0.45	0.31
0.067	0.60	0.30
0.068	0.54	0.30
0.069	0.53	0.38
0.07	0.55	0.36
0.071	0.67	0.30
0.072	0.65	0.28
0.073	0.72	0.28
0.074	0.59	0.28
0.075	0.53	0.30
0.076	0.57	0.28
0.077	0.56	0.28
0.078	0.57	0.30
0.079	0.57	0.30
0.08	0.54	0.29
0.081	0.42	0.28
0.082	0.48	0.32
0.083	0.52	0.35
0.084	0.48	0.38
0.085	0.53	0.44
0.086	0.59	0.40
0.087	0.53	0.37
0.088	0.57	0.35
0.089	0.67	0.32
0.09	0.64	0.29
0.091	0.57	0.28
0.092	0.54	0.29
0.093	0.59	0.29
0.094	0.35	0.30
0.095	0.54	0.27
0.096	0.47	0.28
0.097	0.48	0.27
0.098	0.37	0.28
0.099	0.37	0.35
0.1	0.44	0.28
0.101	0.54	0.29
0.102	0.62	0.29
0.103	0.47	0.27
0.104	0.57	0.28
0.105	0.48	0.32
0.106	0.43	0.34
0.107	0.46	0.33
0.108	0.33	0.42
0.109	0.51	0.33
0.11	0.53	0.38
0.111	0.57	0.31
0.112	0.50	0.31
0.113	0.56	0.27
0.114	0.48	0.28
0.115	0.22	0.35
0.116	0.18	0.29
0.117	0.26	0.30
0.118	0.33	0.36
0.119	0.01	0.28
0.12	0.01	0.28
0.121	0.05	0.30
0.122	0.03	0.27
0.123	-0.04	0.29
0.124	0.19	0.40
0.125	-0.03	0.30
0.126	0.03	0.29
0.127	0.21	0.31
0.128	0.39	0.47
0.129	0.42	0.49
0.13	0.53	0.48
0.131	0.42	0.52
0.132	0.77	0.42
0.133	0.64	0.42
0.134	0.84	0.38
0.135	1.05	0.31
0.136	0.96	0.43
0.137	1.10	0.29
0.138	1.11	0.27
0.139	1.07	0.29
0.14	1.02	0.37
0.141	1.06	0.29
0.142	0.96	0.33
0.143	1.05	0.30
0.144	0.96	0.29
0.145	0.88	0.30
0.146	0.95	0.30
0.147	0.88	0.30
0.148	0.83	0.31
0.149	0.78	0.32
0.15	0.80	0.27
0.151	0.87	0.27
0.152	0.82	0.28
0.153	0.69	0.36
0.154	0.72	0.29
0.155	0.46	0.40
0.156	0.74	0.28
0.157	0.74	0.28
0.158	0.64	0.31
0.159	0.68	0.34
0.16	0.86	0.30
0.161	0.91	0.27
0.162	0.83	0.28
0.163	0.78	0.27
0.164	0.76	0.27
0.165	0.69	0.27
0.166	0.63	0.28
0.167	0.63	0.28
0.168	0.60	0.30
0.169	0.60	0.36
0.17	0.64	0.27
0.171	0.68	0.27
0.172	0.61	0.27
0.173	0.60	0.28
0.174	0.65	0.31
0.175	0.43	0.35
0.176	0.59	0.31
0.177	0.64	0.36
0.178	0.56	0.29
0.179	0.62	0.29
0.18	0.65	0.27
0.181	0.66	0.28
0.182	0.57	0.29
0.183	0.49	0.32
0.184	0.72	0.36
0.185	0.78	0.29
0.186	0.75	0.29
0.187	0.75	0.28
0.188	0.77	0.27
0.189	0.69	0.28
0.19	0.59	0.32
0.191	0.52	0.33
0.192	0.39	0.38
0.193	0.53	0.29
0.194	0.38	0.28
0.195	0.30	0.36
0.196	0.33	0.31
0.197	0.25	0.28
0.198	0.41	0.28
0.199	0.19	0.28
0.2	0.13	0.35
0.201	0.06	0.28
0.202	0.10	0.28
0.203	0.20	0.31
0.204	0.29	0.37
0.205	0.30	0.31
0.206	0.28	0.39
0.207	0.34	0.29
0.208	0.38	0.28
0.209	0.30	0.29
0.21	0.20	0.31
0.211	0.21	0.31
0.212	0.38	0.40
0.213	0.25	0.29
0.214	0.16	0.27
0.215	0.14	0.27
0.216	0.28	0.33
0.217	0.13	0.39
0.218	0.22	0.32
0.219	0.29	0.41
0.22	0.27	0.36
0.221	0.52	0.28
0.222	0.83	0.32
0.223	0.77	0.32
0.224	0.72	0.29
0.225	0.67	0.27
0.226	0.51	0.29
0.227	0.49	0.35
0.228	0.68	0.29
0.229	0.30	0.45
0.23	0.62	0.29
0.231	0.56	0.34
0.232	0.50	0.29
0.233	0.25	0.34
0.234	0.32	0.28
0.235	0.10	0.29
0.236	0.09	0.28
0.237	0.01	0.27
0.238	-0.05	0.28
0.239	-0.05	0.29
0.24	0.20	0.37
0.241	0.18	0.37
0.242	0.05	0.39
0.243	0.18	0.44
0.244	0.45	0.42
0.245	0.74	0.29
0.246	0.74	0.32
0.247	0.61	0.32
0.248	0.62	0.32
0.249	0.62	0.30
0.25	0.66	0.30
0.251	0.74	0.28
0.252	0.81	0.27
0.253	0.62	0.31
0.254	0.72	0.28
0.255	0.49	0.33
0.256	0.67	0.28
0.257	0.69	0.29
0.258	0.67	0.28
0.259	0.64	0.28
0.26	0.62	0.28
0.261	0.60	0.27
0.262	0.54	0.28
0.263	0.58	0.32
0.264	0.50	0.32
0.265	0.61	0.29
0.266	0.58	0.29
0.267	0.56	0.28
0.268	0.30	0.41
0.269	0.50	0.29
0.27	0.62	0.27
0.271	0.62	0.28
0.272	0.47	0.35
0.273	0.22	0.41
0.274	0.50	0.29
0.275	0.51	0.28
0.276	0.33	0.35
0.277	0.52	0.28
0.278	0.52	0.32
0.279	0.44	0.28
0.28	0.31	0.30
0.281	0.29	0.28
0.282	0.26	0.28
0.283	0.24	0.28
0.284	0.23	0.29
0.285	0.19	0.28
0.286	0.19	0.28
0.287	0.21	0.31
0.288	0.20	0.32
0.289	0.38	0.30
0.29	0.45	0.30
0.291	0.44	0.29
0.292	0.48	0.38
0.293	0.53	0.29
0.294	0.49	0.31
0.295	0.55	0.28
0.296	0.47	0.38
0.297	0.50	0.29
0.298	0.39	0.30
0.299	0.46	0.29
0.3	0.40	0.28
0.301	0.38	0.29
0.302	0.28	0.28
0.303	0.24	0.28
0.304	0.24	0.35
0.305	0.30	0.29
0.306	0.40	0.34
0.307	0.32	0.35
0.308	0.35	0.30
0.309	0.35	0.29
0.31	0.28	0.29
0.311	0.26	0.28
0.312	0.16	0.27
0.313	0.15	0.28
0.314	0.20	0.35
0.315	0.07	0.30
0.316	0.21	0.32
0.317	0.21	0.42
0.318	0.13	0.31
0.319	0.07	0.27
0.32	0.28	0.36
0.321	0.12	0.29
0.322	0.10	0.29
0.323	0.02	0.29
0.324	-0.10	0.34
0.325	-0.05	0.28
0.326	-0.07	0.29
0.327	-0.09	0.30
0.328	-0.09	0.31
0.329	-0.10	0.28
0.33	0.08	0.33
0.331	0.00	0.31
0.332	0.55	0.59
0.333	-0.09	0.39
0.334	0.02	0.37
