Age	OcnTemp	sigma
0	0	0.22
0.001	-0.26	0.19
0.002	-0.15	0.14
0.003	-0.07	0.11
0.004	-0.17	0.15
0.005	-0.16	0.23
0.006	-0.22	0.23
0.007	-0.11	0.25
0.008	-0.19	0.30
0.009	-0.31	0.34
0.01	-0.66	0.40
0.011	-0.89	0.39
0.012	-1.37	0.37
0.013	-1.81	0.39
0.014	-2.08	0.38
0.015	-2.48	0.43
0.016	-2.79	0.54
0.017	-2.96	0.63
0.018	-3.06	0.61
0.019	-3.28	0.58
0.02	-3.26	0.52
0.021	-3.18	0.56
0.022	-3.22	0.59
0.023	-3.33	0.59
0.024	-3.3	0.53
0.025	-3.31	0.46
0.026	-3.4	0.51
0.027	-3.43	0.57
0.028	-3.25	0.52
0.029	-3.13	0.33
0.03	-3.27	0.34
0.031	-3.26	0.37
0.032	-3.05	0.33
0.033	-3.11	0.36
0.034	-3.13	0.30
0.035	-3.05	0.28
0.036	-3.19	0.28
0.037	-3.29	0.32
0.038	-3.23	0.34
0.039	-3.33	0.38
0.04	-3.21	0.31
0.041	-3.2	0.31
0.042	-3.15	0.29
0.043	-2.99	0.27
0.044	-3.03	0.26
0.045	-2.98	0.28
0.046	-3.14	0.31
0.047	-3.16	0.26
0.048	-3.07	0.30
0.049	-2.88	0.25
0.05	-2.84	0.28
0.051	-2.72	0.28
0.052	-2.77	0.27
0.053	-2.85	0.29
0.054	-2.76	0.30
0.055	-2.74	0.31
0.056	-2.73	0.29
0.057	-2.78	0.31
0.058	-2.94	0.31
0.059	-2.99	0.29
0.06	-3.11	0.31
0.061	-3.07	0.33
0.062	-3.15	0.29
0.063	-3.28	0.45
0.064	-3.14	0.40
0.065	-3.11	0.48
0.066	-3.15	0.47
0.067	-3.01	0.41
0.068	-2.89	0.36
0.069	-2.8	0.33
0.07	-2.66	0.37
0.071	-2.51	0.39
0.072	-2.42	0.41
0.073	-2.14	0.37
0.074	-2.01	0.34
0.075	-1.81	0.35
0.076	-1.75	0.36
0.077	-1.78	0.31
0.078	-1.75	0.34
0.079	-1.54	0.31
0.08	-1.29	0.30
0.081	-1.22	0.28
0.082	-1.2	0.30
0.083	-1.2	0.29
0.084	-1.29	0.36
0.085	-1.41	0.36
0.086	-1.42	0.36
0.087	-1.55	0.36
0.088	-1.52	0.36
0.089	-1.46	0.38
0.09	-1.34	0.39
0.091	-1.3	0.39
0.092	-1.2	0.40
0.093	-1.14	0.39
0.094	-1.09	0.42
0.095	-1.02	0.42
0.096	-0.86	0.40
0.097	-0.78	0.46
0.098	-0.73	0.38
0.099	-0.75	0.42
0.1	-0.59	0.43
0.101	-0.66	0.43
0.102	-0.64	0.42
0.103	-0.6	0.41
0.104	-0.53	0.36
0.105	-0.66	0.37
0.106	-0.82	0.39
0.107	-1.04	0.38
0.108	-1.12	0.36
0.109	-1.03	0.34
0.11	-1.12	0.35
0.111	-1.08	0.40
0.112	-0.86	0.37
0.113	-0.85	0.41
0.114	-0.8	0.44
0.115	-0.8	0.48
0.116	-0.7	0.48
0.117	-0.5	0.39
0.118	-0.3	0.38
0.119	-0.2	0.36
0.12	0	0.29
0.121	0.2	0.30
0.122	0.3	0.29
0.123	0.4	0.32
0.124	0.5	0.32
0.125	0.5	0.33
0.126	0.5	0.44
0.127	0.5	0.44
0.128	0.3	0.49
0.129	0.1	0.67
0.13	-0.4	0.70
0.131	-1.15	0.61
0.132	-1.37	0.61
0.133	-1.66	0.64
0.134	-1.87	0.60
0.135	-2.07	0.55
0.136	-2.12	0.45
0.137	-2.25	0.43
0.138	-2.36	0.41
0.139	-2.48	0.36
0.14	-2.45	0.39
0.141	-2.45	0.38
0.142	-2.52	0.51
0.143	-2.52	0.59
0.144	-2.66	0.65
0.145	-2.55	0.54
0.146	-2.45	0.44
0.147	-2.54	0.49
0.148	-2.57	0.40
0.149	-2.54	0.37
0.15	-2.64	0.44
0.151	-2.57	0.42
0.152	-2.49	0.37
0.153	-2.61	0.50
0.154	-2.91	0.56
0.155	-3.03	0.58
0.156	-3.01	0.57
0.157	-3.2	0.56
0.158	-3.14	0.55
0.159	-3.02	0.49
0.16	-2.72	0.44
0.161	-2.51	0.42
0.162	-2.72	0.42
0.163	-2.69	0.35
0.164	-2.59	0.33
0.165	-2.59	0.38
0.166	-2.65	0.49
0.167	-2.78	0.43
0.168	-2.89	0.45
0.169	-2.5	0.38
0.17	-2.43	0.30
0.171	-2.36	0.28
