Age	Sealevel
0.000	2
0.001	6
0.002	1
0.003	4
0.004	1
0.005	-8
0.006	-6
0.007	-20
0.008	-31
0.009	-39
0.010	-44
0.011	-69
0.012	-58
0.013	-75
0.014	-74
0.015	-95
0.016	-111
0.017	-112
0.018	-123
0.019	-139
0.020	-135
0.021	-137
0.022	-132
0.023	-131
0.024	-120
0.025	-121
0.026	-116
0.027	-108
0.028	-120
0.029	-103
0.030	-110
0.031	-103
0.032	-105
0.033	-111
0.034	-102
0.035	-103
0.036	-93
0.037	-88
0.038	-69
0.039	-80
0.040	-80
0.041	-72
0.042	-78
0.043	-83
0.044	-86
0.045	-89
0.046	-70
0.047	-69
0.048	-80
0.049	-95
0.050	-77
0.051	-93
0.052	-83
0.053	-77
0.054	-82
0.055	-52
0.056	-74
0.057	-69
0.058	-55
0.059	-58
0.060	-66
0.061	-72
0.062	-52
0.063	-52
0.064	-61
0.065	-87
0.066	-70
0.067	-94
0.068	-85
0.069	-84
0.070	-86
0.071	-104
0.072	-101
0.073	-112
0.074	-93
0.075	-84
0.076	-90
0.077	-88
0.078	-90
0.079	-90
0.080	-86
0.081	-67
0.082	-77
0.083	-84
0.084	-77
0.085	-85
0.086	-94
0.087	-86
0.088	-92
0.089	-106
0.090	-102
0.091	-91
0.092	-87
0.093	-94
0.094	-57
0.095	-87
0.096	-76
0.097	-77
0.098	-60
0.099	-61
0.100	-70
0.101	-86
0.102	-99
0.103	-76
0.104	-91
0.105	-77
0.106	-69
0.107	-74
0.108	-53
0.109	-83
0.110	-86
0.111	-92
0.112	-80
0.113	-91
0.114	-79
0.115	-35
0.116	-28
0.117	-42
0.118	-54
0.119	1
0.120	1
0.121	-5
0.122	-2
0.123	5
0.124	-32
0.125	4
0.126	-1
0.127	-31
0.128	-59
0.129	-63
0.130	-79
0.131	-63
0.132	-112
0.133	-95
0.134	-123
0.135	-151
0.136	-138
0.137	-156
0.138	-158
0.139	-153
0.140	-146
0.141	-151
0.142	-139
0.143	-151
0.144	-139
0.145	-128
0.146	-137
0.147	-129
0.148	-122
0.149	-115
0.150	-117
0.151	-127
0.152	-121
0.153	-103
0.154	-107
0.155	-69
0.156	-111
0.157	-110
0.158	-96
0.159	-102
0.160	-127
0.161	-134
0.162	-123
0.163	-117
0.164	-113
0.165	-104
0.166	-96
0.167	-95
0.168	-92
0.169	-91
0.170	-97
0.171	-102
0.172	-93
0.173	-91
0.174	-99
0.175	-66
0.176	-90
0.177	-97
0.178	-86
0.179	-95
0.180	-100
0.181	-100
0.182	-88
0.183	-76
0.184	-110
0.185	-119
0.186	-114
0.187	-115
0.188	-117
0.189	-106
0.190	-92
0.191	-81
0.192	-61
0.193	-83
0.194	-59
0.195	-47
0.196	-52
0.197	-39
0.198	-63
0.199	-28
0.200	-19
0.201	-6
0.202	-13
0.203	-29
0.204	-46
0.205	-47
0.206	-44
0.207	-54
0.208	-59
0.209	-45
0.210	-30
0.211	-31
0.212	-59
0.213	-37
0.214	-24
0.215	-20
0.216	-42
0.217	-18
0.218	-33
0.219	-44
0.220	-41
0.221	-79
0.222	-123
0.223	-115
0.224	-109
0.225	-101
0.226	-77
0.227	-75
0.228	-102
0.229	-45
0.230	-95
0.231	-86
0.232	-76
0.233	-38
0.234	-48
0.235	-12
0.236	-11
0.237	2
0.238	6
0.239	6
0.240	-28
0.241	-25
0.242	-3
0.243	-25
0.244	-66
0.245	-108
0.246	-109
0.247	-89
0.248	-91
0.249	-91
0.250	-97
0.251	-109
0.252	-118
0.253	-91
0.254	-106
0.255	-73
0.256	-99
0.257	-101
0.258	-99
0.259	-95
0.260	-91
0.261	-88
0.262	-79
0.263	-86
0.264	-75
0.265	-91
0.266	-87
0.267	-83
0.268	-44
0.269	-75
0.270	-93
0.271	-93
0.272	-70
0.273	-32
0.274	-76
0.275	-76
0.276	-49
0.277	-79
0.278	-79
0.279	-66
0.280	-47
0.281	-44
0.282	-38
0.283	-36
0.284	-34
0.285	-28
0.286	-28
0.287	-31
0.288	-29
0.289	-58
0.290	-70
0.291	-67
0.292	-74
0.293	-81
0.294	-75
0.295	-85
0.296	-73
0.297	-77
0.298	-61
0.299	-72
0.300	-63
0.301	-60
0.302	-44
0.303	-37
0.304	-37
0.305	-47
0.306	-63
0.307	-50
0.308	-55
0.309	-54
0.310	-44
0.311	-40
0.312	-24
0.313	-22
0.314	-30
0.315	-7
0.316	-31
0.317	-32
0.318	-18
0.319	-8
0.320	-43
0.321	-17
0.322	-13
0.323	1
0.324	10
0.325	6
0.326	7
0.327	9
0.328	9
0.329	10
0.330	-8
0.331	2
0.332	-88
0.333	9
0.334	1
0.335	-44
0.336	-62
0.337	-53
0.338	-68
0.339	-68
0.340	-108
0.341	-145
0.342	-105
0.343	-125
0.344	-128
0.345	-106
0.346	-112
0.347	-102
0.348	-84
0.349	-118
0.350	-104
0.351	-96
0.352	-84
0.353	-94
0.354	-86
0.355	-80
0.356	-80
0.357	-68
0.358	-76
0.359	-53
0.360	-79
0.361	-75
0.362	-69
0.363	-58
0.364	-71
0.365	-62
0.366	-60
0.367	-75
0.368	-43
0.369	-61
0.370	-49
0.371	-55
0.372	-55
0.373	-34
0.374	-35
0.375	-30
0.376	-43
0.377	-48
0.378	-32
0.379	-53
0.380	-59
0.381	-71
0.382	-50
0.383	-62
0.384	-58
0.385	-36
0.386	-28
0.387	-39
0.388	-64
0.389	-44
0.390	-30
0.391	-38
0.392	-35
0.393	-35
0.394	-35
0.395	-23
0.396	-38
0.397	4
0.398	-12
0.399	8
0.400	5
0.401	7
0.402	10
0.403	4
0.404	0
0.405	7
0.406	8
0.407	7
0.408	-23
0.409	4
0.410	7
0.411	-6
0.412	2
0.413	-6
0.414	-22
0.415	-28
0.416	-44
0.417	-30
0.418	-28
0.419	-37
0.420	-25
0.421	-46
0.422	-29
0.423	-8
0.424	4
0.425	-51
0.426	-98
0.427	3
0.428	-77
0.429	-124
0.430	-131
0.431	-146
0.432	-148
0.433	-127
0.434	-147
0.435	-139
0.436	-131
0.437	-113
0.438	-117
0.439	-129
0.440	-108
0.441	-118
0.442	-118
0.443	-112
0.444	-92
0.445	-85
0.446	-94
0.447	-62
0.448	-87
0.449	-86
0.450	-87
0.451	-69
0.452	-75
0.453	-61
0.454	-74
0.455	-51
0.456	-42
0.457	-67
0.458	-62
0.459	-49
0.460	-55
0.461	-51
0.462	-34
0.463	-50
0.464	-21
0.465	-46
0.466	-43
0.467	-47
0.468	-42
0.469	-44
0.470	-29
0.471	-18
0.472	-34
0.473	-28
0.474	-45
0.475	-60
0.476	-64
0.477	-50
0.478	-67
0.479	-57
0.480	-47
0.481	-49
0.482	-41
0.483	-40
0.484	-19
0.485	-40
0.486	-31
0.487	-17
0.488	-4
0.489	0
0.490	-8
0.491	-4
0.492	1
0.493	3
0.494	-29
0.495	-9
0.496	3
0.497	-9
0.498	-58
0.499	-26
0.500	-25
0.501	-35
0.502	-28
0.503	-22
0.504	-26
0.505	-25
0.506	-25
0.507	-35
0.508	-21
0.509	-35
0.510	-43
0.511	-62
0.512	-76
0.513	-70
0.514	-63
0.515	-70
0.516	-63
0.517	-56
0.518	-54
0.519	-38
0.520	-40
0.521	-30
0.522	-30
0.523	-27
0.524	5
0.525	-6
0.526	-16
0.527	-36
0.528	-21
0.529	-28
0.530	-23
0.531	-17
0.532	-40
0.533	-30
0.534	-42
0.535	-66
0.536	-90
0.537	-45
0.538	-98
0.539	-78
0.540	-72
0.541	-97
0.542	-54
0.543	-98
0.544	-70
0.545	-89
0.546	-98
0.547	-93
0.548	-93
0.549	-90
0.550	-98
0.551	-78
0.552	-103
0.553	-83
0.554	-85
0.555	-77
0.556	-76
0.557	-79
0.558	-84
0.559	-70
0.560	-72
0.561	-65
0.562	-54
0.563	-77
0.564	-59
0.565	-41
0.566	-29
0.567	-55
0.568	-59
0.569	-92
0.570	-48
0.571	-41
0.572	-5
0.573	-18
0.574	-12
0.575	5
0.576	-4
0.577	6
0.578	3
0.579	9
0.580	-35
0.581	-35
0.582	-63
0.583	-109
0.584	-95
0.585	-134
0.586	-103
0.587	-72
0.588	-86
0.589	-91
0.590	-109
0.591	-60
0.592	-86
0.593	-78
0.594	-70
0.595	-66
0.596	-70
0.597	-67
0.598	-55
0.599	-98
0.600	-89
0.601	-84
0.602	-74
0.603	-68
0.604	-60
0.605	-65
0.606	-69
0.607	-64
0.608	-55
0.609	-33
0.610	-14
0.611	-1
0.612	5
0.613	-3
0.614	-14
0.615	-10
0.616	-4
0.617	-30
0.618	-60
0.619	-64
0.620	-69
0.621	-72
0.622	-73
0.623	-89
0.624	-102
0.625	-128
0.626	-155
0.627	-161
0.628	-166
0.629	-171
0.630	-177
0.631	-164
0.632	-151
0.633	-149
0.634	-144
0.635	-153
0.636	-162
0.637	-153
0.638	-150
0.639	-152
0.640	-155
0.641	-148
0.642	-140
0.643	-144
0.644	-144
0.645	-143
0.646	-130
0.647	-135
0.648	-142
0.649	-139
0.650	-135
0.651	-137
0.652	-132
0.653	-132
0.654	-131
0.655	-121
0.656	-112
0.657	-121
0.658	-126
0.659	-118
0.660	-111
0.661	-114
0.662	-118
0.663	-106
0.664	-97
0.665	-103
0.666	-109
0.667	-110
0.668	-113
0.669	-106
0.670	-101
0.671	-105
0.672	-109
0.673	-96
0.674	-89
0.675	-98
0.676	-102
0.677	-101
0.678	-97
0.679	-88
0.680	-78
0.681	-73
0.682	-71
0.683	-65
0.684	-52
0.685	-60
0.686	-72
0.687	-67
0.688	-63
0.689	-70
0.690	-62
0.691	-42
0.692	-27
0.693	-45
0.694	-39
0.695	-25
0.696	-9
0.697	-9
0.698	-13
0.699	-14
0.700	-16
0.701	-31
0.702	-48
0.703	-38
0.704	-37
0.705	-49
0.706	-58
0.707	-68
0.708	-73
0.709	-74
0.710	-74
0.711	-78
0.712	-78
0.713	-75
0.714	-73
0.715	-73
0.716	-89
0.717	-106
0.718	-122
0.719	-117
0.720	-114
0.721	-120
0.722	-126
0.723	-125
0.724	-122
0.725	-110
0.726	-94
0.727	-82
0.728	-71
0.729	-59
0.730	-48
0.731	-51
0.732	-51
0.733	-55
0.734	-63
0.735	-66
0.736	-71
0.737	-79
0.738	-85
0.739	-81
0.740	-76
0.741	-75
0.742	-75
0.743	-103
0.744	-128
0.745	-127
0.746	-124
0.747	-120
0.748	-119
0.749	-121
0.750	-122
0.751	-119
0.752	-114
0.753	-108
0.754	-105
0.755	-104
