Age	d18O	d18Omax	d18Omin
7	3.374	3.404	3.344
8	3.350	3.374	3.327
9	3.366	3.402	3.330
10	3.413	3.457	3.368
11	3.479	3.566	3.392
12	3.659	3.828	3.490
13	4.034	4.290	3.778
14	4.223	4.413	4.032
15	4.388	4.537	4.238
16	4.739	4.895	4.583
17	4.974	5.074	4.873
18	4.987	5.130	4.844
19	4.986	5.141	4.831
20	4.862	5.172	4.552
21	4.683	5.103	4.263
22	4.750	5.145	4.355
23	4.929	5.074	4.784
24	4.962	5.011	4.912
25	4.937	5.000	4.874
26	4.944	5.008	4.881
27	4.940	5.010	4.871
28	4.870	4.956	4.785
29	4.797	4.878	4.715
30	4.803	4.917	4.689
31	4.750	4.929	4.571
32	4.660	4.831	4.489
33	4.672	4.772	4.573
34	4.720	4.763	4.678
35	4.724	4.768	4.679
36	4.674	4.770	4.578
37	4.571	4.687	4.456
38	4.609	4.703	4.514
39	4.676	4.739	4.613
40	4.682	4.764	4.601
41	4.650	4.749	4.551
42	4.661	4.727	4.594
43	4.664	4.724	4.604
44	4.620	4.697	4.543
45	4.570	4.641	4.499
46	4.565	4.619	4.511
47	4.521	4.596	4.446
48	4.540	4.610	4.470
49	4.573	4.627	4.519
50	4.559	4.597	4.521
51	4.528	4.615	4.441
52	4.562	4.698	4.426
53	4.580	4.687	4.474
54	4.540	4.615	4.465
55	4.511	4.602	4.420
56	4.493	4.578	4.407
57	4.501	4.541	4.461
58	4.505	4.513	4.496
59	4.621	4.656	4.587
60	4.716	4.750	4.682
61	4.674	4.745	4.602
62	4.582	4.661	4.503
63	4.568	4.633	4.502
64	4.607	4.668	4.545
65	4.655	4.722	4.588
66	4.710	4.765	4.654
67	4.728	4.771	4.685
68	4.434	4.503	4.365
69	4.360	0.000	0.000
70	4.347	4.382	4.311
71	4.244	4.286	4.201
72	4.220	0.000	0.000
73	4.186	4.224	4.148
74	4.084	4.165	4.003
75	4.034	4.184	3.884
76	4.000	4.067	3.934
77	4.071	4.103	4.039
78	4.085	4.113	4.057
79	4.006	4.057	3.955
80	3.925	3.949	3.900
81	3.912	3.930	3.893
82	3.868	3.909	3.827
83	3.719	3.778	3.659
84	3.702	3.789	3.615
85	3.837	3.980	3.694
86	4.110	4.193	4.026
87	4.161	4.209	4.113
88	4.176	4.192	4.160
