Age	d18OH2O	SLR
7	-0.072	-7.16
8	-0.184	-18.40
9	-0.211	-21.08
10	-0.020	-1.95
11	0.176	17.64
12	0.341	34.06
13	0.551	55.09
14	0.591	59.07
15	0.572	57.19
16	0.770	77.04
17	0.913	91.32
18	0.964	96.38
19	1.018	101.84
20	0.945	94.54
21	0.737	73.69
22	0.784	78.42
23	0.992	99.24
24	1.129	112.94
25	1.103	110.34
26	1.027	102.73
27	0.855	85.49
28	0.780	78.01
29	0.755	75.52
30	0.705	70.53
31	0.748	74.77
32	0.753	75.33
33	0.795	79.53
34	0.897	89.69
35	1.011	101.09
36	0.947	94.67
37	0.757	75.71
38	0.723	72.33
39	0.673	67.28
40	0.591	59.10
41	0.523	52.29
42	0.516	51.61
43	0.548	54.84
44	0.604	60.35
45	0.609	60.85
46	0.630	63.01
47	0.708	70.81
48	0.737	73.68
49	0.673	67.25
50	0.560	55.98
51	0.566	56.64
52	0.687	68.72
53	0.787	78.65
54	0.849	84.88
55	0.836	83.58
56	0.817	81.72
57	0.857	85.66
58	0.886	88.56
59	0.643	64.28
60	0.677	67.71
61	0.702	70.23
62	0.644	64.37
63	0.533	53.34
64	0.448	44.77
65	0.579	57.86
66	0.740	74.00
67	0.784	78.40
68	0.313	31.33
69	0.263	26.30
70	0.283	28.26
71	0.094	9.37
72	0.040	4.02
73	0.043	4.33
74	0.030	3.00
75	-0.010	-0.95
76	-0.009	-0.91
77	0.078	7.75
78	0.169	16.94
79	0.475	47.51
80	0.497	49.68
81	0.522	52.18
82	0.370	36.95
83	-0.121	-12.12
84	-0.147	-14.71
85	-0.178	-17.81
86	-0.148	-14.75
87	-0.111	-11.05
88	-0.015	-1.54
89	-0.029	-2.92
90	-0.072	-7.21
91	-0.064	-6.41
92	0.081	8.14
93	0.182	18.22
94	0.262	26.16
95	0.154	15.41
96	-0.029	-2.89
97	-0.006	-0.63
98	0.053	5.29
99	0.044	4.40
100	-0.040	-3.99
101	-0.143	-14.33
102	0.320	32.00
103	0.353	35.26
104	0.279	27.91
105	0.250	25.02
106	0.265	26.46
107	0.252	25.15
108	0.190	18.96
109	0.237	23.68
110	0.259	25.86
111	0.454	45.40
112	0.410	41.04
113	0.351	35.13
114	0.270	26.99
115	0.252	25.24
116	0.256	25.59
117	0.171	17.13
118	0.050	4.96
119	0.071	7.11
120	0.036	3.64
121	0.119	11.85
122	0.203	20.29
123	0.115	11.49
124	0.002	0.19
125	-0.030	-2.96
126	-0.033	-3.33
127	0.051	5.14
128	0.089	8.91
129	0.281	28.13
130	0.588	58.78
131	0.782	78.18
132	0.845	84.52
133	0.851	85.05
134	0.888	88.84
135	0.968	96.82
136	0.910	90.95
137	0.844	84.38
138	0.885	88.54
139	0.857	85.74
140	0.824	82.40
141	0.792	79.20
142	0.802	80.19
143	0.795	79.51
144	0.711	71.06
145	0.631	63.05
146	0.647	64.69
147	0.712	71.16
148	0.742	74.24
149	0.756	75.55
150	0.473	47.26
151	0.406	40.56
152	0.423	42.25
153	0.488	48.80
154	0.510	50.98
155	0.551	55.14
156	0.660	66.03
157	0.593	59.32
158	0.428	42.80
159	0.404	40.35
160	0.388	38.84
161	0.329	32.94
162	0.255	25.52
163	0.232	23.21
164	0.329	32.91
165	0.386	38.59
166	0.379	37.87
167	0.344	34.40
168	0.374	37.43
169	0.304	30.39
170	0.194	19.35
171	0.262	26.15
172	0.554	55.37
173	0.466	46.55
174	0.386	38.63
175	0.346	34.59
176	0.267	26.69
177	0.240	24.02
178	0.348	34.81
179	0.372	37.24
180	0.382	38.21
181	0.398	39.81
182	0.260	25.97
183	0.180	17.96
184	0.230	23.00
185	0.310	31.04
186	0.224	22.42
187	0.171	17.12
188	0.181	18.13
189	0.172	17.19
190	0.244	24.35
191	0.209	20.94
192	0.150	15.01
193	0.178	17.76
194	0.272	27.22
195	0.308	30.80
196	0.265	26.53
197	0.209	20.93
198	0.128	12.81
199	0.003	0.25
200	-0.095	-9.48
201	-0.092	-9.16
202	0.065	6.45
203	0.259	25.89
204	0.268	26.81
205	-0.029	-2.92
206	-0.117	-11.73
207	0.119	11.92
208	0.194	19.35
209	0.295	29.54
210	0.287	28.74
211	0.171	17.12
212	0.107	10.69
213	0.097	9.67
214	0.119	11.92
215	0.065	6.49
216	0.132	13.18
217	0.308	30.78
218	0.318	31.80
219	0.360	35.97
220	0.530	53.04
221	0.613	61.32
222	0.811	81.06
223	0.831	83.06
224	0.732	73.15
225	0.719	71.90
226	0.577	57.67
227	0.526	52.56
228	0.662	66.19
229	0.676	67.64
230	0.600	60.02
231	0.466	46.59
232	0.245	24.52
233	0.152	15.18
234	0.224	22.41
235	0.244	24.44
236	0.109	10.94
237	0.133	13.29
238	0.184	18.40
239	0.199	19.90
240	0.192	19.21
241	0.350	34.97
242	0.617	61.69
243	0.650	65.00
244	0.478	47.81
245	-0.521	-52.10
246	0.156	15.61
247	0.259	25.92
248	0.288	28.82
