Age	d18O
7.0	3.40
8.1	3.33
8.4	3.34
10.1	3.46
10.3	3.36
11.0	
11.7	3.50
12.1	3.65
12.4	
13.5	4.40
13.7	3.92
14.1	4.33
15.1	
15.3	4.51
17.0	4.99
17.3	5.03
18.8	4.76
18.9	5.21
20.2	
20.6	5.11
20.9	4.94
21.3	3.61
21.7	4.91
22.0	4.98
22.7	4.93
23.1	5.02
23.8	5.01
24.6	4.98
24.9	4.78
25.1	
25.5	5.03
25.8	5.00
26.2	4.83
26.7	4.93
27.1	5.08
27.5	5.00
27.8	4.89
28.2	4.71
28.5	4.82
28.7	
29.1	4.82
29.6	4.59
30.3	5.06
30.7	
31.1	4.82
31.4	4.77
31.8	4.28
32.2	4.80
32.3	
34.1	4.68
34.3	4.77
34.9	4.70
35.2	4.75
36.1	4.77
36.5	4.65
37.2	4.26
37.6	4.63
38.3	4.64
38.7	4.72
38.9	4.65
39.2	4.66
39.6	4.74
39.9	4.74
40.3	
40.5	4.80
40.8	4.35
41.6	4.78
41.9	4.68
42.3	4.60
42.5	4.64
43.0	4.69
43.4	4.76
43.7	4.69
44.1	4.68
44.3	4.55
44.5	4.39
44.8	
45.5	4.54
45.9	4.66
46.3	4.59
47.2	4.37
47.5	
47.9	4.58
48.1	4.43
48.4	4.67
48.8	4.60
49.2	4.57
49.9	4.56
50.6	4.56
51.0	4.59
51.5	4.41
51.7	4.33
52.1	4.57
52.4	4.97
52.8	4.54
53.0	4.60
53.3	4.44
53.9	4.55
54.2	4.53
54.6	4.52
55.0	4.73
55.1	4.43
55.3	4.32
55.9	
56.2	4.53
56.8	
57.1	4.50
60.9	4.75
61.3	4.67
61.8	
62.4	4.46
62.7	4.51
63.1	
63.5	4.69
64.2	4.63
64.4	4.51
64.9	
65.3	4.70
65.6	4.68
66.0	4.78
68.7	
69.3	4.36
71.9	4.22
74.6	4.15
75.2	3.93
76.9	
77.8	4.09
79.9	
80.2	3.93
81.1	3.90
83.7	3.76
84.0	3.63
86.1	4.11
86.4	
87.0	4.19
89.2	
90.2	4.12
92.5	4.02
93.4	4.19
96.3	
96.6	3.79
98.9	3.86
99.2	3.88
99.8	3.45
103.7	4.08
104.0	3.95
104.6	4.04
105.3	4.04
105.9	3.95
106.6	4.08
108.5	4.07
109.5	3.73
110.1	
112.0	4.31
112.3	3.86
115.2	3.95
115.9	3.93
117.2	
118.4	3.63
118.8	3.68
119.7	3.42
121.3	3.36
122.3	3.69
122.9	3.29
123.6	3.34
124.2	3.22
124.8	
125.5	3.19
126.1	
127.4	3.31
128.1	3.34
128.7	
129.3	3.63
130.0	4.05
130.6	4.18
131.6	3.95
132.5	4.59
133.2	4.72
133.8	4.70
134.5	4.90
135.1	4.92
135.8	4.76
136.4	5.00
137.0	4.77
137.7	4.90
138.0	5.12
138.2	4.94
138.6	4.86
139.1	4.89
139.5	4.86
139.9	4.95
140.3	4.77
140.8	4.93
141.2	4.74
141.6	4.84
142.0	4.95
142.5	4.90
142.9	4.75
143.3	4.67
143.7	4.76
144.2	4.77
144.6	4.57
147.4	4.81
147.8	4.59
148.6	4.65
150.8	
151.0	4.67
151.4	4.55
151.8	4.56
152.2	4.66
152.9	4.53
153.5	4.63
154.0	4.53
154.4	4.56
154.8	4.74
155.2	4.49
155.7	4.82
156.1	4.67
156.9	4.75
157.1	4.91
157.8	4.72
158.2	4.72
158.6	4.52
158.8	4.89
159.1	4.64
159.5	4.78
159.9	4.80
160.3	4.74
160.8	4.69
161.2	4.62
161.6	4.71
162.5	4.59
162.9	4.54
163.3	4.60
163.7	4.61
164.2	4.57
164.6	4.53
165.0	4.61
165.4	4.48
165.9	4.60
166.3	4.53
166.7	4.51
167.1	4.51
167.6	4.61
168.0	4.28
168.4	4.61
168.8	4.69
169.3	4.55
169.7	4.42
170.1	4.59
170.5	4.48
172.2	4.64
173.5	4.34
173.9	4.27
174.2	4.40
174.4	4.41
174.8	4.33
175.2	4.33
176.1	4.36
176.5	4.26
176.9	4.36
178.6	4.45
179.0	4.48
179.5	4.33
179.9	4.42
181.2	4.51
182.4	4.52
182.9	4.32
183.3	4.40
184.6	4.38
185.0	4.77
185.5	4.69
186.0	4.56
186.5	4.53
187.0	4.56
188.8	4.69
189.6	4.37
190.1	4.59
190.6	4.44
191.1	4.54
