/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for the spliced stratigraphic section at IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951383, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.571402 * MEDIAN LONGITUDE: -10.126045 * SOUTH-BOUND LATITUDE: 37.571307 * WEST-BOUND LONGITUDE: -10.126180 * NORTH-BOUND LATITUDE: 37.571490 * EAST-BOUND LONGITUDE: -10.125932
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2589.0 m * MAXIMUM ELEVATION: -2584.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	339-U1385A * LATITUDE: 37.571490 * LONGITUDE: -10.126180 * ELEVATION: -2587.0 m * Recovery: 155.87 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 151.5 m cored; 103 % recovered; 151.5 m penetrated
	339-U1385B * LATITUDE: 37.571487 * LONGITUDE: -10.125935 * ELEVATION: -2587.0 m * Recovery: 150.73 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.3 m cored; 103 % recovered; 146.3 m penetrated
	339-U1385D * LATITUDE: 37.571307 * LONGITUDE: -10.125932 * ELEVATION: -2584.0 m * Recovery: 153.95 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.4 m cored; 105 % recovered; 146.4 m penetrated
	339-U1385E * LATITUDE: 37.571308 * LONGITUDE: -10.126153 * ELEVATION: -2589.0 m * Recovery: 151.32 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 148.7 m cored; 102 % recovered; 148.7 m penetrated
Parameter(s):	Event label (Event) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	68035 data points
*/
Event	Sample label (DSDP/ODP/IODP sample designation)	Depth corr cr [crmcd]	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
339-U1385D	339-U1385D-1H-1,20	0.0200	0.13081	0.11641	0.11641	0.14	16.0190	0.285660
339-U1385D	339-U1385D-1H-1,30	0.0300	0.19622	0.17461	0.17461	0.21	17.8630	0.253690
339-U1385D	339-U1385D-1H-1,40	0.0400	0.26162	0.23282	0.23282	0.28	18.4750	0.241360
339-U1385D	339-U1385D-1H-1,50	0.0500	0.32703	0.29102	0.29102	0.35	17.3410	0.255970
339-U1385D	339-U1385D-1H-1,60	0.0600	0.39243	0.34922	0.34922	0.42	19.4830	0.258810
339-U1385D	339-U1385D-1H-1,70	0.0700	0.45784	0.40743	0.40743	0.49	20.4170	0.259290
339-U1385D	339-U1385D-1H-1,80	0.0800	0.52324	0.46563	0.46563	0.56	20.7790	0.250470
339-U1385D	339-U1385D-1H-1,90	0.0900	0.58865	0.52384	0.52384	0.63	20.6080	0.265580
339-U1385D	339-U1385D-1H-1,100	0.1000	0.65405	0.58204	0.58204	0.70	21.7910	0.241570
339-U1385D	339-U1385D-1H-1,110	0.1100	0.71946	0.64024	0.64024	0.77	21.8980	0.222120
339-U1385D	339-U1385D-1H-1,120	0.1200	0.78486	0.69845	0.69845	0.83	22.6260	0.245390
339-U1385D	339-U1385D-1H-1,130	0.1300	0.85027	0.75665	0.75665	0.90	23.8110	0.226830
339-U1385D	339-U1385D-1H-1,140	0.1400	0.91568	0.81485	0.81485	0.97	24.0540	0.244230
339-U1385D	339-U1385D-1H-1,150	0.1500	0.98108	0.87306	0.87306	1.04	25.1060	0.227300
339-U1385D	339-U1385D-1H-1,160	0.1600	1.04650	0.93126	0.93126	1.11	24.2480	0.224270
339-U1385D	339-U1385D-1H-1,170	0.1700	1.11190	0.98947	0.98947	1.18	24.2270	0.209760
339-U1385D	339-U1385D-1H-1,180	0.1800	1.17730	1.04770	1.04770	1.25	23.1970	0.226940
339-U1385D	339-U1385D-1H-1,190	0.1900	1.24270	1.10590	1.10590	1.32	23.7520	0.226840
339-U1385D	339-U1385D-1H-1,200	0.2000	1.30810	1.16410	1.16410	1.39	24.5600	0.238180
339-U1385D	339-U1385D-1H-1,210	0.2100	1.37350	1.22230	1.22230	1.46	25.3470	0.221340
339-U1385D	339-U1385D-1H-1,220	0.2200	1.43890	1.28050	1.28050	1.53	25.4140	0.244060
339-U1385D	339-U1385D-1H-1,230	0.2300	1.50430	1.33870	1.33870	1.60	26.0130	0.210810
339-U1385D	339-U1385D-1H-1,240	0.2400	1.56970	1.39690	1.39690	1.67	26.8160	0.201200
339-U1385D	339-U1385D-1H-1,250	0.2500	1.63510	1.45510	1.45510	1.74	26.2290	0.217030
339-U1385D	339-U1385D-1H-1,260	0.2600	1.70050	1.51330	1.51330	1.81	26.9550	0.195220
339-U1385D	339-U1385D-1H-1,270	0.2700	1.76590	1.57150	1.57150	1.88	27.4760	0.190890
339-U1385D	339-U1385D-1H-1,280	0.2800	1.83140	1.62970	1.62970	1.95	26.7690	0.214940
339-U1385D	339-U1385D-1H-1,290	0.2900	1.89680	1.68790	1.68790	2.02	26.6870	0.194390
339-U1385D	339-U1385D-1H-1,300	0.3000	1.96220	1.74610	1.74610	2.09	28.0750	0.235940
339-U1385D	339-U1385D-1H-1,310	0.3100	2.02760	1.80430	1.80430	2.16	28.0930	0.208450
339-U1385D	339-U1385D-1H-1,320	0.3200	2.09300	1.86250	1.86250	2.23	28.9000	0.198010
339-U1385D	339-U1385D-1H-1,330	0.3300	2.15840	1.92070	1.92070	2.30	28.2780	0.203780
339-U1385D	339-U1385D-1H-1,340	0.3400	2.22380	1.97890	1.97890	2.36	30.5090	0.206470
339-U1385D	339-U1385D-1H-1,350	0.3500	2.28920	2.03710	2.03710	2.43	29.8720	0.186720
339-U1385D	339-U1385D-1H-1,360	0.3600	2.35460	2.09530	2.09530	2.50	28.7930	0.202890
339-U1385D	339-U1385D-1H-1,370	0.3700	2.42000	2.15350	2.15350	2.57	31.4320	0.183070
339-U1385D	339-U1385D-1H-1,380	0.3800	2.48010	2.21170	2.21170	2.64	30.4790	0.189770
339-U1385D	339-U1385D-1H-1,390	0.3900	2.54020	2.27000	2.27000	2.71	29.0290	0.197450
339-U1385D	339-U1385D-1H-1,400	0.4000	2.60030	2.32820	2.32820	2.78	30.1840	0.196990
339-U1385D	339-U1385D-1H-1,410	0.4100	2.66040	2.38640	2.38640	2.85	28.7420	0.202400
339-U1385D	339-U1385D-1H-1,420	0.4200	2.72050	2.44460	2.44460	2.92	30.1890	0.217050
339-U1385D	339-U1385D-1H-1,430	0.4300	2.78060	2.50280	2.50280	2.99	30.0400	0.206060
339-U1385D	339-U1385D-1H-1,440	0.4400	2.84070	2.56100	2.56100	3.06	29.2750	0.212030
339-U1385D	339-U1385D-1H-1,450	0.4500	2.90090	2.61920	2.61920	3.13	28.9440	0.182040
339-U1385D	339-U1385D-1H-1,460	0.4600	2.96100	2.67740	2.67740	3.20	30.8710	0.188750
339-U1385D	339-U1385D-1H-1,470	0.4700	3.02110	2.73560	2.73560	3.27	29.9050	0.202710
339-U1385D	339-U1385D-1H-1,480	0.4800	3.08120	2.79380	2.79380	3.34	30.5110	0.204550
339-U1385D	339-U1385D-1H-1,490	0.4900	3.14130	2.85200	2.85200	3.41	29.3070	0.219270
339-U1385D	339-U1385D-1H-1,500	0.5000	3.20140	2.91020	2.91020	3.48	28.5400	0.209030
339-U1385D	339-U1385D-1H-1,510	0.5100	3.26150	2.96840	2.96840	3.55	28.2770	0.226740
339-U1385D	339-U1385D-1H-1,520	0.5200	3.32160	3.02660	3.02660	3.62	28.8840	0.217610
339-U1385D	339-U1385D-1H-1,530	0.5300	3.38170	3.08480	3.08480	3.69	29.1190	0.208830
339-U1385D	339-U1385D-1H-1,540	0.5400	3.44180	3.14300	3.14300	3.76	28.8140	0.211050
339-U1385D	339-U1385D-1H-1,550	0.5500	3.50190	3.20120	3.20120	3.83	28.5370	0.208320
339-U1385D	339-U1385D-1H-1,560	0.5600	3.56200	3.25940	3.25940	3.89	29.1310	0.198670
339-U1385D	339-U1385D-1H-1,570	0.5700	3.62210	3.31760	3.31760	3.96	30.2760	0.197150
339-U1385D	339-U1385D-1H-1,580	0.5800	3.68220	3.37580	3.37580	4.03	29.0110	0.207190
