Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,0-1	0.010	0.010	0.010	0.010	0.07	0.06	0.06	0.07	0.45	-0.70
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,20-21	0.210	0.210	0.210	0.210	1.37	1.22	1.22	1.46	0.30	-0.78
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,40-41	0.410	0.410	0.410	0.410	2.66	2.39	2.39	2.85	0.16	-0.88
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,60-61	0.610	0.610	0.610	0.610	3.86	3.55	3.55	4.24	0.34	-0.70
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,80-81	0.810	0.810	0.810	0.810	5.06	4.71	4.71	5.63	0.24	-1.17
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,100-101	1.010	1.010	1.010	1.010	6.27	5.88	5.88	7.02	0.06	-1.02
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,120-121	1.210	1.210	1.210	1.210	7.47	7.04	7.04	8.42	0.32	-1.04
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,140-141	1.410	1.410	1.410	1.410	9.86	8.21	8.21	9.68	0.43	-0.96
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,0-1	1.520	1.520	1.520	1.520	11.57	8.85	8.85	10.25	0.47	-0.94
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,20-21	1.720	1.720	1.720	1.720	14.57	10.01	10.01	11.27	0.96	-0.70
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,40-41	1.920	1.920	1.920	1.920	15.27	11.18	11.18	12.30	1.66	-0.32
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,60-61	2.120	2.120	2.120	2.120	15.96	12.36	12.46	13.33	1.35	-0.57
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,80-81	2.320	2.320	2.320	2.320	16.66	13.60	14.01	14.35	1.05	-0.91
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,100-101	2.520	2.520	2.520	2.520	17.36	14.85	15.56	15.38	2.39	-0.36
