Event	Date	Latitude	Longitude	Samplelabel	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgemodelLisiec	AgemodelAhn	AgemodelKonijn	SpeciesCibicidoidesδ18O	Cibicidoidesδ13C	Gaffinisδ18O	Gaffinisδ13C	Uvigerinaδ18O	Uvigerinaδ13C	Forambenthδ18O
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,1-2	0.020	0.020	0.020	0.02	0.13	0.12	0.12	0.14	Cibicidoides wuellerstorfi	2.57	0.98			2.90	-0.42	3.21
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,20-21	0.210	0.210	0.210	0.21	1.37	1.22	1.22	1.46	Cibicidoides wuellerstorfi	2.77	1.20					3.41
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,21-22	0.220	0.220	0.220	0.22	1.44	1.28	1.28	1.53	Uvigerina spp.					3.37	0.04	3.37
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,40-41	0.410	0.410	0.410	0.41	2.66	2.39	2.39	2.85	Cibicidoides wuellerstorfi	2.77	1.16					3.41
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,41-42	0.420	0.420	0.420	0.42	2.72	2.44	2.44	2.92	Cibicidoides wuellerstorfi	2.59	0.95					3.23
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,80-81	0.810	0.810	0.810	0.81	5.06	4.71	4.71	5.63	Cibicidoides wuellerstorfi	2.78	0.91					3.42
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,81-82	0.820	0.820	0.820	0.82	5.12	4.77	4.77	5.70	Cibicidoides wuellerstorfi	2.79	1.03					3.43
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,101-102	1.020	1.020	1.020	1.02	6.33	5.94	5.94	7.09	Cibicidoides wuellerstorfi	2.78	0.89					3.42
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,120-121	1.210	1.210	1.210	1.21	7.47	7.04	7.04	8.42	Cibicidoides wuellerstorfi	2.60	0.88					3.24
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,121-122	1.220	1.220	1.220	1.22	7.53	7.10	7.10	8.49	Cibicidoides wuellerstorfi	2.70	0.96					3.34
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,140-141	1.410	1.410	1.410	1.41	9.86	8.21	8.21	9.68	Cibicidoides wuellerstorfi	2.88	0.78					3.52
339-U1385D		37.5713	-10.1259	339-U1385D-1H-1,141-142	1.420	1.420	1.420	1.42	10.04	8.26	8.27	9.73	Cibicidoides wuellerstorfi	2.66	0.85					3.30
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,0-1	1.520	1.520	1.520	1.52	11.57	8.85	8.85	10.25	Cibicidoides wuellerstorfi	2.75	1.00					3.39
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,1-2	1.530	1.530	1.530	1.53	11.62	8.91	8.91	10.30	Cibicidoides wuellerstorfi	2.64	0.78					3.28
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,20-21	1.720	1.720	1.720	1.72	14.57	10.01	10.01	11.27	Cibicidoides wuellerstorfi	2.68	0.72					3.32
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,21-22	1.730	1.730	1.730	1.73	14.61	10.07	10.07	11.32	Cibicidoides wuellerstorfi	2.72	0.81					3.36
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,40-41	1.920	1.920	1.920	1.92	15.27	11.18	11.18	12.30	Cibicidoides wuellerstorfi	3.08	0.63					3.72
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,41-42	1.930	1.930	1.930	1.93	15.30	11.23	11.23	12.35	Cibicidoides wuellerstorfi	3.12	0.59					3.76
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,60-61	2.120	2.120	2.120	2.12	15.96	12.36	12.46	13.33	Cibicidoides wuellerstorfi	3.51	0.91					4.15
