/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data of Cibiicidoides in piston core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951396, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.940 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	23074 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Cibicidoides spp. δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	Cibicidoides spp. δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
0.030	0.00	0.00	0.00000	0.00000	0.00000	0.14986	0.15979	0.16151	2.94	1.0100
0.180	0.01	0.06	0.05282	0.05282	0.06311	0.89919	0.95872	0.96904	2.47	0.8900
0.270	0.10	0.68	0.60090	0.60090	0.71806	1.34880	1.43810	1.45360	2.48	0.8900
0.330	0.17	1.09	0.96630	0.96630	1.15470	1.64850	1.75770	1.77660	2.66	1.0700
0.420	0.26	1.70	1.51440	1.51440	1.80970	2.09810	2.23700	2.26110	2.56	1.0300
0.900	0.76	4.78	4.43750	4.43750	5.30270	4.49590	4.79360	4.84520	2.52	1.0400
0.960	0.83	5.16	4.80290	4.80290	5.73940	4.79570	5.11320	5.16820	2.41	0.8500
0.990	0.86	5.34	4.98560	4.98560	5.95760	4.94550	5.27300	5.32970	2.57	0.9800
1.080	0.95	5.91	5.53370	5.53370	6.61260	5.39510	5.75230	5.81430	2.53	1.1400
1.110	0.98	6.10	5.71640	5.71640	6.83090	5.54500	5.91210	5.97580	2.74	1.0900
1.140	1.01	6.29	5.89900	5.89900	7.04910	5.69480	6.07190	6.13730	2.61	0.9900
1.230	1.11	6.85	6.44720	6.44720	7.70430	6.14440	6.55130	6.62180	2.70	0.9200
1.290	1.16	7.19	6.77550	6.77550	8.09660	6.44420	6.87080	6.94480	2.67	0.9300
1.320	1.18	7.27	6.84590	6.84590	8.18070	6.59400	7.03060	7.10630	2.67	0.9600
1.410	1.21	7.49	7.05840	7.05840	8.43460	7.04360	7.51000	7.59080	2.47	0.8700
1.500	1.25	7.70	7.27020	7.27020	8.68780	7.49320	7.98930	8.07540	2.69	0.9600
1.530	1.26	7.78	7.34130	7.34130	8.77260	7.64310	8.14910	8.23690	2.68	0.9100
1.560	1.27	7.85	7.41170	7.41170	8.85680	7.79290	8.30890	8.39840	2.61	0.8600
1.590	1.29	7.92	7.48270	7.48270	8.94160	7.94280	8.46870	8.55990	2.69	0.9300
1.650	1.31	8.07	7.62410	7.62410	9.11060	8.24250	8.78830	8.88290	2.59	0.3100
1.770	1.36	8.94	7.90700	7.90700	9.41500	8.84200	9.42740	9.52890	2.72	0.9000
1.830	1.38	9.37	8.04840	8.04840	9.53980	9.14170	9.74700	9.85190	2.48	0.9300
1.920	1.42	10.03	8.26090	8.26090	9.72730	9.59130	10.22600	10.33600	2.76	0.8400
1.950	1.43	10.24	8.33190	8.33190	9.79000	9.74120	10.38600	10.49800	2.81	0.8900
2.010	1.46	10.68	8.47330	8.47330	9.91480	10.04100	10.70600	10.82100	2.56	0.7000
2.040	1.47	10.90	8.54370	8.54370	9.97700	10.19100	10.86500	10.98200	2.92	0.9800
2.130	1.50	11.49	8.75620	8.75620	10.16400	10.64000	11.34500	11.46700	2.86	1.0100
2.190	1.53	11.61	8.89760	8.89760	10.28900	10.94000	11.66400	11.59100	2.75	1.0000
2.220	1.54	11.68	8.96860	8.96860	10.35200	11.10500	11.82400	11.65300	2.85	1.0300
2.250	1.55	11.80	9.03910	9.03910	10.41400	11.30000	11.98400	11.71500	3.01	0.6800
2.280	1.57	12.14	9.11010	9.11010	10.47700	11.49600	12.22500	12.13300	3.18	0.5100
2.340	1.59	12.69	9.25150	9.25150	10.60200	11.88600	12.70600	12.77500	3.10	0.6700
2.370	1.60	12.86	9.32190	9.32190	10.66400	12.08200	12.94700	12.99900	3.40	0.9000
2.460	1.64	13.46	9.56290	9.56290	10.87600	12.66700	13.67000	13.67000	3.36	0.7000
2.490	1.66	13.74	9.67640	9.67640	10.97700	12.86300	13.91100	13.89400	2.88	0.6300
2.520	1.68	14.02	9.78990	9.78990	11.07700	13.05800	14.15100	14.11700	3.47	0.6200
2.580	1.72	14.57	10.01700	10.01700	11.27700	13.44800	14.63300	14.56500	3.40	0.4100
2.640	1.76	14.71	10.24400	10.24400	11.47700	13.83900	14.91800	14.83100	3.34	0.6300
2.670	1.80	14.84	10.45500	10.45500	11.66300	14.03400	15.06000	14.96400	3.37	0.4500
2.700	1.83	14.96	10.66500	10.66500	11.84900	14.23000	15.20300	15.09700	3.38	0.3900
2.820	1.98	15.46	11.50600	11.50600	12.59200	14.77800	15.77300	15.62900	3.36	0.2400
3.930	3.17	19.69	18.91200	20.65000	18.74600	17.98100	19.71100	19.48900	4.36	0.4500
4.110	3.29	20.09	19.60100	21.28100	19.31600	18.31800	20.24700	19.93300	4.43	0.3600
4.170	3.32	20.23	19.80300	21.43800	19.50600	18.43100	20.42600	20.08100	4.48	0.3800
4.710	3.66	21.43	21.14900	22.85400	21.21500	19.44100	22.03400	21.41300	4.35	0.3200
4.830	3.73	21.69	21.44800	23.16800	21.59500	19.66600	22.39100	21.70900	4.46	0.5800
5.490	4.17	23.30	23.24900	25.06000	23.88000	20.90200	24.35700	23.33700	4.28	0.4500
5.550	4.22	23.45	23.42200	25.24200	24.10000	21.01400	24.53500	23.48500	4.32	0.4200
5.670	4.30	23.76	23.76700	25.60500	24.53800	21.23900	24.89300	23.78100	4.25	0.3200
5.910	4.47	24.47	24.45800	26.33200	25.36200	21.68800	25.60700	24.49300	4.36	0.2200
5.970	4.52	24.66	24.63100	26.51300	25.56400	21.80000	25.78600	24.68100	4.09	0.0900
6.450	4.86	26.15	26.01300	27.96600	27.18000	22.69900	27.21500	26.18500	4.30	0.2800
6.600	4.96	26.61	26.44500	28.41900	27.68500	22.98000	27.66200	26.65500	4.07	0.2100
6.630	4.99	26.71	26.53200	28.51000	27.78600	23.03600	27.75100	26.74900	4.00	0.2700
6.690	5.03	26.90	26.70800	28.69600	27.99300	23.14800	27.93000	26.93700	4.25	0.2800
6.990	5.25	27.87	27.60500	29.63900	29.04100	23.71000	28.82300	27.87700	4.31	0.5900
7.230	5.43	28.64	28.32300	30.39300	29.88000	25.10300	29.53800	28.62900	3.96	0.2500
7.320	5.49	28.93	28.59200	30.67600	30.19500	25.62500	29.80600	28.91100	4.12	0.4500
7.350	5.52	29.04	28.68100	30.77000	30.29900	25.79900	29.89500	29.03800	4.04	0.2600
