/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
0.000	0.00	0.00	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.47	-0.57
0.120	0.02	0.12	0.10477	0.10477	0.12519	0.59946	0.63915	0.64603	0.26	-0.66
0.150	0.02	0.15	0.13096	0.13096	0.15649	0.74932	0.79893	0.80754	0.44	-0.48
0.180	0.03	0.18	0.15715	0.15715	0.18779	0.89919	0.95872	0.96904	0.44	-0.73
0.210	0.04	0.26	0.23551	0.23551	0.28143	1.04900	1.11850	1.13050	0.48	-0.65
0.240	0.07	0.47	0.41821	0.41821	0.49975	1.19890	1.27830	1.29210	0.59	-0.55
0.270	0.10	0.68	0.60090	0.60090	0.71806	1.34880	1.43810	1.45360	0.59	-0.43
0.300	0.13	0.88	0.78360	0.78360	0.93638	1.49860	1.59790	1.61510	0.40	-0.82
0.330	0.17	1.09	0.96630	0.96630	1.15470	1.64850	1.75770	1.77660	0.57	-0.57
0.360	0.20	1.29	1.14900	1.14900	1.37300	1.79840	1.91740	1.93810	0.51	-0.53
0.390	0.23	1.50	1.33170	1.33170	1.59140	1.94820	2.07720	2.09960	0.44	-0.59
0.420	0.26	1.70	1.51440	1.51440	1.80970	2.09810	2.23700	2.26110	0.55	-0.57
0.450	0.29	1.91	1.69710	1.69710	2.02790	2.24800	2.39680	2.42260	0.59	-0.48
0.480	0.32	2.11	1.87980	1.87980	2.24630	2.39780	2.55660	2.58410	0.51	-0.69
0.510	0.35	2.32	2.06250	2.06250	2.46460	2.54770	2.71640	2.74560	0.46	-0.70
0.540	0.39	2.51	2.24520	2.24520	2.68290	2.69760	2.87620	2.90710	0.51	-0.48
0.570	0.42	2.70	2.42790	2.42790	2.90120	2.84740	3.03590	3.06860	0.54	-0.44
0.600	0.45	2.89	2.61060	2.61060	3.11960	2.99730	3.19570	3.23010	0.42	-0.59
0.630	0.48	3.08	2.79330	2.79330	3.33790	3.14710	3.35550	3.39160	0.53	-0.41
0.660	0.51	3.27	2.97600	2.97600	3.55620	3.29700	3.51530	3.55320	0.53	-0.56
0.690	0.54	3.46	3.15870	3.15870	3.77450	3.44690	3.67510	3.71470	0.66	-0.67
0.720	0.57	3.65	3.34130	3.34130	3.99280	3.59670	3.83490	3.87620	0.63	-0.37
0.750	0.61	3.84	3.52400	3.52400	4.21110	3.74660	3.99470	4.03770	0.57	-0.55
0.780	0.64	4.02	3.70670	3.70670	4.42940	3.89650	4.15450	4.19920	0.77	-0.51
0.810	0.67	4.21	3.88940	3.88940	4.64780	4.04630	4.31420	4.36070	0.49	-0.42
0.840	0.70	4.40	4.07210	4.07210	4.86610	4.19620	4.47400	4.52220	0.62	-0.58
0.870	0.73	4.59	4.25480	4.25480	5.08440	4.34610	4.63380	4.68370	0.57	-0.37
0.900	0.76	4.78	4.43750	4.43750	5.30270	4.49590	4.79360	4.84520	0.58	-0.77
0.930	0.79	4.97	4.62020	4.62020	5.52110	4.64580	4.95340	5.00670	0.48	-0.52
0.960	0.83	5.16	4.80290	4.80290	5.73940	4.79570	5.11320	5.16820	0.55	-0.67
0.990	0.86	5.34	4.98560	4.98560	5.95760	4.94550	5.27300	5.32970	0.64	-0.61
1.020	0.89	5.53	5.16830	5.16830	6.17600	5.09540	5.43270	5.49120	0.51	-0.48
1.050	0.92	5.72	5.35100	5.35100	6.39430	5.24520	5.59250	5.65270	0.61	-0.45
1.080	0.95	5.91	5.53370	5.53370	6.61260	5.39510	5.75230	5.81430	0.32	-0.69
1.110	0.98	6.10	5.71640	5.71640	6.83090	5.54500	5.91210	5.97580	0.55	-0.60
1.140	1.01	6.29	5.89900	5.89900	7.04910	5.69480	6.07190	6.13730	0.58	-0.69
1.170	1.04	6.48	6.08170	6.08170	7.26750	5.84470	6.23170	6.29880	0.50	-0.69
1.200	1.08	6.67	6.26450	6.26450	7.48590	5.99460	6.39150	6.46030	0.60	-0.55
1.230	1.11	6.85	6.44720	6.44720	7.70430	6.14440	6.55130	6.62180	0.55	-0.72
1.260	1.14	7.04	6.63000	6.63000	7.92270	6.29430	6.71100	6.78330	0.62	-0.74
1.290	1.16	7.19	6.77550	6.77550	8.09660	6.44420	6.87080	6.94480	0.41	-0.65
1.320	1.18	7.27	6.84590	6.84590	8.18070	6.59400	7.03060	7.10630	0.62	-0.69
1.350	1.19	7.34	6.91690	6.91690	8.26560	6.74390	7.19040	7.26780	0.43	-0.82
1.380	1.20	7.41	6.98740	6.98740	8.34970	6.89380	7.35020	7.42930	0.63	-0.68
1.410	1.21	7.49	7.05840	7.05840	8.43460	7.04360	7.51000	7.59080	0.51	-0.68
1.440	1.22	7.56	7.12880	7.12880	8.51880	7.19350	7.66980	7.75230	0.59	-0.64
1.470	1.24	7.63	7.19980	7.19980	8.60360	7.34330	7.82950	7.91380	0.50	-0.72
1.500	1.25	7.70	7.27020	7.27020	8.68780	7.49320	7.98930	8.07540	0.55	-0.70
1.530	1.26	7.78	7.34130	7.34130	8.77260	7.64310	8.14910	8.23690	0.51	-0.75
1.560	1.27	7.85	7.41170	7.41170	8.85680	7.79290	8.30890	8.39840	0.56	-0.83
1.590	1.29	7.92	7.48270	7.48270	8.94160	7.94280	8.46870	8.55990	0.43	-0.92
1.620	1.30	8.00	7.55370	7.55370	9.02650	8.09270	8.62850	8.72140	0.65	-0.86
1.650	1.31	8.07	7.62410	7.62410	9.11060	8.24250	8.78830	8.88290	0.62	-0.87
1.680	1.32	8.29	7.69510	7.69510	9.19550	8.39240	8.94810	9.04440	0.64	-0.76
1.710	1.33	8.50	7.76560	7.76560	9.27970	8.54230	9.10780	9.20590	0.47	-0.71
1.740	1.35	8.72	7.83660	7.83660	9.35290	8.69210	9.26760	9.36740	0.36	-0.87
1.770	1.36	8.94	7.90700	7.90700	9.41500	8.84200	9.42740	9.52890	0.56	-0.69
1.800	1.37	9.16	7.97800	7.97800	9.47770	8.99190	9.58720	9.69040	0.52	-0.99
1.830	1.38	9.37	8.04840	8.04840	9.53980	9.14170	9.74700	9.85190	0.50	-0.81
