/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for all benthic foraminifera in piston core MD01-2444 and IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951395, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.910 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	δ18O [‰] (δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: mixed species corrected to Uvig.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	17690 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	δ18O [‰] (mixed species corrected to Uv...)
0.030	0.02	0.14	0.12519	0.12519	0.14960	0.14986	0.15979	0.16151	3.3600
0.060	0.04	0.28	0.25039	0.25039	0.29921	0.29973	0.31957	0.32301	3.2450
0.090	0.06	0.42	0.37558	0.37558	0.44881	0.44959	0.47936	0.48452	3.2700
0.120	0.09	0.56	0.50077	0.50077	0.59841	0.59946	0.63915	0.64603	3.2400
0.150	0.11	0.70	0.62598	0.62598	0.74803	0.74932	0.79893	0.80754	3.1700
0.180	0.13	0.84	0.75118	0.75118	0.89764	0.89919	0.95872	0.96904	3.2300
0.210	0.15	0.98	0.87638	0.87638	1.04720	1.04900	1.11850	1.13050	3.2100
0.240	0.17	1.13	1.00160	1.00160	1.19690	1.19890	1.27830	1.29210	3.2600
0.270	0.19	1.27	1.12670	1.12670	1.34640	1.34880	1.43810	1.45360	3.1250
0.330	0.24	1.55	1.37710	1.37710	1.64560	1.64850	1.75770	1.77660	3.3200
0.360	0.26	1.69	1.50230	1.50230	1.79520	1.79840	1.91740	1.93810	3.2150
0.390	0.28	1.83	1.62750	1.62750	1.94480	1.94820	2.07720	2.09960	3.1600
0.420	0.30	1.97	1.75270	1.75270	2.09440	2.09810	2.23700	2.26110	3.2200
0.450	0.32	2.11	1.87790	1.87790	2.24400	2.24800	2.39680	2.42260	3.1800
0.480	0.34	2.25	2.00310	2.00310	2.39360	2.39780	2.55660	2.58410	3.2800
0.510	0.37	2.39	2.12830	2.12830	2.54320	2.54770	2.71640	2.74560	3.1800
0.540	0.39	2.52	2.25350	2.25350	2.69290	2.69760	2.87620	2.90710	3.2100
0.570	0.41	2.65	2.37870	2.37870	2.84250	2.84740	3.03590	3.06860	3.3200
0.600	0.43	2.78	2.50390	2.50390	2.99210	2.99730	3.19570	3.23010	3.1700
0.630	0.45	2.91	2.62910	2.62910	3.14170	3.14710	3.35550	3.39160	3.4300
0.660	0.47	3.04	2.75430	2.75430	3.29130	3.29700	3.51530	3.55320	3.2918
0.690	0.49	3.17	2.87950	2.87950	3.44090	3.44690	3.67510	3.71470	3.4900
0.720	0.52	3.30	3.00470	3.00470	3.59050	3.59670	3.83490	3.87620	3.3600
0.750	0.54	3.43	3.12990	3.12990	3.74010	3.74660	3.99470	4.03770	3.2300
0.780	0.56	3.56	3.25510	3.25510	3.88970	3.89650	4.15450	4.19920	3.2900
0.810	0.58	3.69	3.38020	3.38020	4.03920	4.04630	4.31420	4.36070	3.2750
0.840	0.60	3.82	3.50540	3.50540	4.18890	4.19620	4.47400	4.52220	3.3700
0.870	0.62	3.95	3.63060	3.63060	4.33850	4.34610	4.63380	4.68370	3.2500
0.900	0.65	4.07	3.75580	3.75580	4.48810	4.49590	4.79360	4.84520	3.2100
0.930	0.67	4.20	3.88100	3.88100	4.63770	4.64580	4.95340	5.00670	3.2500
0.960	0.69	4.33	4.00620	4.00620	4.78730	4.79570	5.11320	5.16820	3.1250
0.990	0.71	4.46	4.13140	4.13140	4.93690	4.94550	5.27300	5.32970	3.1700
1.020	0.73	4.59	4.25660	4.25660	5.08650	5.09540	5.43270	5.49120	3.2550
1.050	0.75	4.72	4.38180	4.38180	5.23610	5.24520	5.59250	5.65270	3.1100
1.080	0.77	4.85	4.50700	4.50700	5.38570	5.39510	5.75230	5.81430	3.2300
1.110	0.80	4.98	4.63220	4.63220	5.53530	5.54500	5.91210	5.97580	3.3750
1.140	0.82	5.11	4.75740	4.75740	5.68490	5.69480	6.07190	6.13730	3.2750
1.170	0.84	5.24	4.88250	4.88250	5.83450	5.84470	6.23170	6.29880	3.1628
1.200	0.86	5.37	5.00770	5.00770	5.98410	5.99460	6.39150	6.46030	3.2155
1.230	0.88	5.50	5.13290	5.13290	6.13370	6.14440	6.55130	6.62180	3.1922
1.260	0.90	5.63	5.25810	5.25810	6.28330	6.29430	6.71100	6.78330	3.2141
1.290	0.92	5.76	5.38330	5.38330	6.43300	6.44420	6.87080	6.94480	3.2555
1.320	0.95	5.88	5.50850	5.50850	6.58260	6.59400	7.03060	7.10630	3.2712
1.350	0.97	6.01	5.63370	5.63370	6.73210	6.74390	7.19040	7.26780	3.2881
1.380	0.99	6.14	5.75890	5.75890	6.88170	6.89380	7.35020	7.42930	3.2644
1.410	1.01	6.27	5.88380	5.88380	7.03100	7.04360	7.51000	7.59080	3.2178
1.440	1.03	6.40	6.00960	6.00960	7.18130	7.19350	7.66980	7.75230	3.1614
1.470	1.05	6.53	6.13470	6.13470	7.33080	7.34330	7.82950	7.91380	3.2539
1.500	1.08	6.66	6.25980	6.25980	7.48030	7.49320	7.98930	8.07540	3.3340
1.530	1.10	6.79	6.38500	6.38500	7.62990	7.64310	8.14910	8.23690	3.2341
1.560	1.12	6.92	6.51010	6.51010	7.77940	7.79290	8.30890	8.39840	3.2426
1.590	1.14	7.05	6.63520	6.63520	7.92900	7.94280	8.46870	8.55990	3.2533
1.620	1.16	7.18	6.76040	6.76040	8.07850	8.09270	8.62850	8.72140	3.2154
1.650	1.18	7.31	6.88550	6.88550	8.22800	8.24250	8.78830	8.88290	3.1373
1.680	1.20	7.44	7.01070	7.01070	8.37760	8.39240	8.94810	9.04440	3.0645
1.710	1.23	7.57	7.13580	7.13580	8.52710	8.54230	9.10780	9.20590	3.1570
1.740	1.25	7.69	7.26090	7.26090	8.67660	8.69210	9.26760	9.36740	3.2535
1.770	1.27	7.82	7.38670	7.38670	8.82690	8.84200	9.42740	9.52890	3.2950
1.800	1.29	7.95	7.51180	7.51180	8.97640	8.99190	9.58720	9.69040	3.1823
