/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for sediment core MD01-2444. PANGAEA, https://doi.org/10.1594/PANGAEA.951398, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	LATITUDE: 37.565000 * LONGITUDE: -10.134000
	MINIMUM DEPTH, sediment/rock: 0.180 m * MAXIMUM DEPTH, sediment/rock: 26.907 m
Event(s):	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31782 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
0.180	0.01	0.06	0.05282	0.05282	0.06311	0.89919	0.95872	0.96904	22.744	0.22749
0.182	0.01	0.08	0.06804	0.06804	0.08131	0.91167	0.97204	0.98250	22.292	0.22365
0.185	0.01	0.09	0.08327	0.08327	0.09950	0.92416	0.98535	0.99596	22.871	0.23055
0.188	0.02	0.11	0.09849	0.09849	0.11769	0.93665	0.99867	1.00940	22.180	0.23235
0.190	0.02	0.13	0.11371	0.11371	0.13588	0.94914	1.01200	1.02290	22.523	0.22439
0.193	0.02	0.14	0.12894	0.12894	0.15408	0.96163	1.02530	1.03630	22.546	0.24000
0.195	0.02	0.16	0.14417	0.14417	0.17227	0.97412	1.03860	1.04980	22.314	0.23172
0.198	0.03	0.18	0.15939	0.15939	0.19046	0.98661	1.05190	1.06330	22.201	0.23318
0.200	0.03	0.20	0.17461	0.17461	0.20866	0.99910	1.06520	1.07670	23.510	0.22617
0.203	0.03	0.21	0.18984	0.18984	0.22685	1.01160	1.07860	1.09020	22.975	0.23719
0.205	0.04	0.23	0.20506	0.20506	0.24504	1.02410	1.09190	1.10360	23.721	0.23939
0.207	0.04	0.25	0.22028	0.22028	0.26323	1.03660	1.10520	1.11710	24.144	0.23552
0.210	0.04	0.26	0.23551	0.23551	0.28143	1.04900	1.11850	1.13050	23.864	0.25297
0.212	0.04	0.28	0.25074	0.25074	0.29962	1.06150	1.13180	1.14400	23.560	0.23835
0.215	0.05	0.30	0.26596	0.26596	0.31781	1.07400	1.14510	1.15750	22.993	0.24921
0.217	0.05	0.32	0.28118	0.28118	0.33601	1.08650	1.15850	1.17090	22.746	0.23195
0.220	0.05	0.33	0.29641	0.29641	0.35420	1.09900	1.17180	1.18440	22.678	0.23446
0.223	0.05	0.35	0.31164	0.31164	0.37240	1.11150	1.18510	1.19780	21.921	0.23646
0.225	0.06	0.37	0.32686	0.32686	0.39058	1.12400	1.19840	1.21130	21.791	0.24148
0.228	0.06	0.38	0.34208	0.34208	0.40878	1.13650	1.21170	1.22480	22.369	0.23322
0.230	0.06	0.40	0.35731	0.35731	0.42697	1.14900	1.22500	1.23820	22.938	0.23502
0.233	0.06	0.42	0.37253	0.37253	0.44517	1.16140	1.23830	1.25170	23.203	0.23279
0.235	0.07	0.44	0.38775	0.38775	0.46336	1.17390	1.25170	1.26510	22.208	0.25881
0.237	0.07	0.45	0.40298	0.40298	0.48155	1.18640	1.26500	1.27860	22.672	0.23205
0.240	0.07	0.47	0.41821	0.41821	0.49975	1.19890	1.27830	1.29210	21.640	0.24046
0.242	0.07	0.49	0.43343	0.43343	0.51794	1.21140	1.29160	1.30550	21.761	0.24026
0.245	0.08	0.50	0.44865	0.44865	0.53613	1.22390	1.30490	1.31900	20.749	0.24058
0.247	0.08	0.52	0.46388	0.46388	0.55432	1.23640	1.31820	1.33240	20.987	0.23777
0.250	0.08	0.54	0.47911	0.47911	0.57252	1.24890	1.33160	1.34590	21.006	0.24381
0.253	0.08	0.56	0.49433	0.49433	0.59071	1.26140	1.34490	1.35940	21.580	0.24085
0.255	0.09	0.57	0.50955	0.50955	0.60890	1.27380	1.35820	1.37280	21.746	0.24272
0.258	0.09	0.59	0.52478	0.52478	0.62710	1.28630	1.37150	1.38630	22.119	0.24042
0.260	0.09	0.61	0.54000	0.54000	0.64529	1.29880	1.38480	1.39970	22.180	0.24719
0.263	0.10	0.62	0.55523	0.55523	0.66349	1.31130	1.39810	1.41320	21.367	0.24487
0.265	0.10	0.64	0.57045	0.57045	0.68167	1.32380	1.41140	1.42660	20.673	0.24857
0.268	0.10	0.66	0.58571	0.58571	0.69990	1.33630	1.42480	1.44010	21.587	0.25253
0.270	0.10	0.68	0.60090	0.60090	0.71806	1.34880	1.43810	1.45360	21.573	0.24761
0.273	0.11	0.69	0.61615	0.61615	0.73628	1.36130	1.45140	1.46700	22.131	0.25191
0.275	0.11	0.71	0.63134	0.63134	0.75443	1.37380	1.46470	1.48050	21.929	0.24053
0.278	0.11	0.73	0.64659	0.64659	0.77266	1.38620	1.47800	1.49390	22.159	0.22352
0.282	0.12	0.76	0.67703	0.67703	0.80903	1.41120	1.50470	1.52090	22.000	0.23432
0.285	0.12	0.78	0.69228	0.69228	0.82725	1.42370	1.51800	1.53430	23.262	0.23324
0.287	0.12	0.80	0.70747	0.70747	0.84541	1.43620	1.53130	1.54780	22.738	0.22824
0.290	0.12	0.81	0.72272	0.72272	0.86363	1.44870	1.54460	1.56120	22.986	0.24371
0.295	0.13	0.85	0.75316	0.75316	0.90001	1.47370	1.57120	1.58820	21.028	0.24224
0.300	0.13	0.88	0.78360	0.78360	0.93638	1.49860	1.59790	1.61510	22.208	0.23273
0.310	0.15	0.95	0.84448	0.84448	1.00910	1.54860	1.65110	1.66890	22.356	0.22561
0.318	0.15	1.00	0.89017	0.89017	1.06370	1.58610	1.69110	1.70930	22.714	0.23414
0.320	0.16	1.02	0.90542	0.90542	1.08200	1.59860	1.70440	1.72270	23.040	0.22709
0.323	0.16	1.03	0.92061	0.92061	1.10010	1.61100	1.71770	1.73620	23.042	0.23007
