Time	CO2
137.0	280.4
268.0	274.9
279.0	277.9
395.0	279.1
404.0	281.9
485.0	277.7
559.0	281.1
672.0	282.2
754.0	280.1
877.0	278.4
950.0	276.6
1060.0	279.1
1153.0	277.7
1233.0	278.7
1350.0	277.4
1453.0	279.2
1552.0	280
1638.0	278.9
1733.0	278.7
1812.0	278
1931.0	276.9
2057.0	276.7
2128.0	276.7
2212.0	277.6
2334.0	277.9
2433.0	273.9
2536.0	278.9
2604.0	275.3
2728.0	274.7
2806.0	276.3
2902.0	274.6
3053.0	276.3
3116.0	273.1
3215.0	274
3336.0	275
3453.0	273.4
3523.0	273
3622.0	271.5
3721.0	275.4
3790.0	274.9
3910.0	271.7
4004.0	271.6
4096.0	272.8
4161.0	271.5
4324.0	271.1
4374.0	269.1
4480.0	269.8
4573.0	271.5
4703.0	270.7
4766.0	269.3
4874.0	268.6
5004.0	269.8
5094.0	267.6
5160.0	265.3
5274.0	265.2
5370.0	267.6
5476.0	265.9
5562.0	265.5
5657.0	260.7
5716.0	266.7
5855.0	265.5
5998.0	263.2
6039.0	262.7
6131.0	261.2
6263.0	261.1
6354.0	259.4
6434.0	262.1
6545.0	262.9
6617.0	258.1
6713.0	257.6
6838.0	262.3
6941.0	263
7028.0	260.7
7112.0	258.4
7234.0	260.1
7320.0	260.4
7413.0	259.7
7507.0	259.2
7590.0	260.8
7691.0	259.6
7781.0	259.3
7876.0	258.3
7990.0	261.3
8050.0	260.7
8181.0	261.8
8281.0	259
8387.0	260.9
8477.0	260.4
8579.0	259.3
8653.0	262
8784.0	263.7
8869.0	263.8
8973.0	265.2
9092.0	260.6
9140.0	260.9
9232.0	263
9317.0	263.8
9536.0	264.4
9597.0	264.2
9721.0	264
9807.0	263.4
9909.0	265.7
9983.0	264.9
10088.0	267.5
10209.0	266.9
10294.0	266
10417.0	265.1
10527.0	267.6
10621.0	264.8
10744.0	264.8
10805.0	265
10827.0	265.3
10895.0	264.4
10933.0	264.1
11014.0	264.2
11087.0	264.5
11136.0	264
11201.0	263
11236.0	265.2
11278.0	258.8
11338.0	260.8
11392.0	255.4
11436.0	253.9
11469.0	253.8
11580.0	250.7
11635.0	249.7
11676.0	251.1
11727.0	250.7
11819.0	245.3
11896.0	245.3
11958.0	246.6
12050.0	243.2
12122.0	240.3
12371.0	237.5
12496.0	237.6
12642.0	234.2
12760.0	238.3
12942.0	237.3
13090.0	237.9
13241.0	237.6
13440.0	236.4
13542.0	239.2
13653.0	238.6
13804.0	238.6
13948.0	239.1
14303.0	228.5
14550.0	228.4
14725.0	226.1
14890.0	225.2
15012.0	224.5
15233.0	222
15438.0	221
15570.0	220.9
15742.0	219.4
15886.0	214
16073.0	207.5
16260.0	207.7
16452.0	202.9
16659.0	200.8
16870.0	195.2
17111.0	193.9
17375.0	191
17565.0	188.5
17809.0	188.5
17943.0	189.2
18285.0	187
18541.0	188.6
18828.0	189.4
18868.0	192.3
18921.0	188.3
19347.0	188.7
19509.0	188.8
19748.0	190
19988.0	188
20168.0	188.2
20197.0	195
20502.0	187.8
20748.0	186.9
21011.0	186.5
21257.0	184.7
21507.0	186.1
21854.0	185.7
22015.0	184.4
22827.0	189.2
25994.0	191.6
29063.0	188.5
30020.0	191.7
35009.0	205.3
37471.0	209.1
43500.0	209.1
47336.0	189.3
48854.0	188.4
49690.0	210.1
50663.0	215.7
52382.0	190.4
57088.0	221.7
57657.0	210.4
62859.0	195.3
64939.0	191.4
65939.0	194.9
71049.0	227.3
73227.0	229.1
77150.0	217.1
78183.0	221.7
80614.0	230.9
82417.0	241.1
83333.0	236.4
84016.0	228
85020.0	214.2
86181.0	217
87917.0	208
90357.0	224.2
91249.0	228.3
94353.0	232
99849.0	225.8
100837.0	230.8
101749.0	236.9
103465.0	228.1
104704.0	236.9
105636.0	230.6
107579.0	238.2
108153.0	245.6
109804.0	251.2
111862.0	256.7
113262.0	266.3
114096.0	261.4
114601.0	274.5
115118.0	273.2
116501.0	262.5
117750.0	267.6
118649.0	273.7
119672.0	271.9
120382.0	265.2
121017.0	277.6
122344.0	272.1
123070.0	276.4
124213.0	268.7
124257.0	266.6
124789.0	266.3
125081.0	279.7
125262.0	273
125434.0	277.1
126347.0	273.7
126598.0	267.1
126886.0	262.5
127132.0	262.6
127622.0	275.3
127907.0	275.6
128344.0	274
128372.0	287.1
128609.0	286.8
128866.0	282.6
129146.0	264.1
129340.0	263.4
129652.0	257.9
129736.0	259
131329.0	245
131455.0	240.4
131728.0	228.9
132492.0	223.5
133069.0	223.9
133105.0	220.3
133427.0	210.6
134123.0	208.9
134287.0	203.7
134960.0	204.5
135114.0	200.4
135207.0	198
135603.0	198
135883.0	201.7
136011.0	200.7
136251.0	202.4
136567.0	195.8
136655.0	201.1
137293.0	194.3
137633.0	193.4
137982.0	194.2
138185.0	190.2
139275.0	192.3
139617.0	196.5
140899.0	195.6
140960.0	196.4
142058.0	190.4
145363.0	196.9
148831.0	203
149803.0	191.9
149921.0	188.9
151423.0	200.6
154480.0	189
155395.0	185.5
155813.0	187.5
159562.0	204.3
159943.0	196.5
161679.0	191.6
162228.0	190.1
163024.0	186.7
163698.0	183.8
164439.0	196.6
167183.0	197.8
169492.0	197.7
171351.0	196
172434.0	190.3
173135.0	189.4
173394.0	190.1
175306.0	207.7
177139.0	213.2
178179.0	217.7
179117.0	198.1
180068.0	199.7
182046.0	203.4
184685.0	210.7
186697.0	231.3
188436.0	231.4
189076.0	220.3
190352.0	218
192910.0	226.5
193481.0	220
195017.0	226.4
195673.0	241.2
196179.0	242.6
198972.0	250.9
199918.0	239.1
201163.0	247.6
202413.0	244.4
202874.0	231.9
203317.0	232.2
203837.0	228.6
204480.0	226.3
204908.0	229.4
205362.0	231.4
205952.0	238.1
206144.0	237.2
206810.0	230
207120.0	240.5
207544.0	242.2
208064.0	244.6
208254.0	243.9
208803.0	247.2
208995.0	252
209432.0	246.9
209817.0	239.5
210154.0	257.4
210813.0	243.4
211858.0	251.2
212716.0	241.4
213270.0	240.3
213536.0	242.6
213984.0	247.5
214459.0	251.7
214794.0	251.1
215382.0	245.3
216352.0	240.5
218361.0	214.1
219116.0	216.1
220058.0	207.1
220739.0	208.8
222030.0	205.6
224269.0	203.3
224923.0	215.7
225909.0	235.5
226711.0	234.5
227027.0	233.1
227776.0	224.5
229423.0	232.4
230422.0	233.9
231066.0	241.6
234817.0	245.2
235480.0	252.1
236114.0	241.4
236734.0	247.4
237294.0	243.1
237868.0	239.1
238558.0	245.6
239013.0	245.8
239477.0	247.4
239973.0	252.8
240945.0	259.7
241366.0	263.2
242007.0	279
242346.0	280.2
243071.0	263.7
243429.0	252.3
243856.0	249.9
244347.0	236.7
244864.0	230.4
245441.0	219.4
247681.0	214.7
250133.0	200.2
251005.0	213.9
251864.0	195.4
252739.0	196.7
253636.0	195.4
255498.0	199
256309.0	201.9
257100.0	204
258661.0	203.9
260353.0	209.6
260916.0	205.7
