Event	Sample label (DSDP/ODP/IODP sample designation)	Sample comment	Top [mcd]	Age [ka BP] (Age, benthic δ18O stratigraphy)	UK37 (Calculated from UK37)	UK'37 (Calculated from UK'37)	SST [°C] (SST, from UK37)	SST [°C] (SST, from UK'37)	C37:4 [%]
162-983C	162-983C-6H-6,36-37	Working half	57.69	493.98	0.056	0.290	-1.6	7.5	18.2
162-983C	162-983C-6H-6,116-117	Working half	58.49	500.41	0.483	0.498	16.3	13.7	1.0
162-983C	162-983C-6H-7,48-49	Working half	59.28	506.78	0.271	0.300	7.4	7.8	2.3
162-983B	162-983B-7H-2,136-137	Working half	60.07	512.66	0.236	0.311	6.0	8.1	5.7
162-983C	162-983C-7H-1,32-33	Working half	60.86	518.52	0.525	0.530	18.0	14.7	0.3
162-983C	162-983C-7H-1,112-113	Working half	61.65	524.38	0.306	0.402	8.9	10.9	6.9
162-983C	162-983C-7H-2,24-25	Working half	62.29	529.79	0.311	0.387	9.1	10.4	5.5
162-983C	162-983C-7H-2,88-89	Working half	62.92	532.83	0.217	0.288	5.2	7.4	5.5
162-983C	162-983C-7H-3,0-1	Working half	63.55	535.87	0.277	0.313	7.7	8.2	2.7
162-983C	162-983C-7H-3,64-65	Working half	64.19	538.95	0.262	0.342	7.0	9.0	6.0
162-983C	162-983C-7H-3,123-129	Working half	64.82	541.98	0.072	0.257	-0.9	6.5	14.7
162-983C	162-983C-7H-4,40-41	Working half	65.45	545.00	0.283	0.376	7.9	10.1	6.7
162-983C	162-983C-7H-4,104-105	Working half	66.09	546.37	0.240	0.300	6.1	7.8	4.6
162-983C	162-983C-7H-5,80-81	Working half	67.35	563.82	0.370	0.404	11.6	10.9	2.4
162-983C	162-983C-7H-5,144-145	Working half	67.99	570.28	0.417	0.434	13.5	11.8	1.2
162-983C	162-983C-7H-6,56-57	Working half	68.62	574.80	0.390	0.413	12.4	11.2	1.6
162-983C	162-983C-7H-6,120-121	Working half	69.26	581.02	0.335	0.374	10.1	10.0	2.9
162-983C	162-983C-7H-7,36-37	Working half	69.90	588.23	0.340	0.351	10.3	9.3	0.9
162-983C	162-983C-7H-CC,28-29	Working half	70.53	595.32	0.442	0.442	14.5	12.0	0.0
162-983B	162-983B-8H-3,44-45	Working half	71.27	602.97	0.348	0.351	10.6	9.3	0.2
162-983C	162-983C-8H-1,60-61	Working half	71.80	607.23	0.402	0.422	12.9	11.5	1.5
162-983C	162-983C-8H-1,124-125	Working half	72.44	610.27	0.395	0.399	12.6	10.7	0.3
162-983C	162-983C-8H-2,56-57	Working half	73.27	613.15	0.314	0.334	9.2	8.8	1.5
162-983C	162-983C-8H-2,140-141	Working half	74.11	615.40	0.372	0.372	11.6	9.9	0.0
162-983C	162-983C-8H-3,72-73	Working half	74.94	632.00	0.175	0.371	3.4	9.9	14.3
162-983C	162-983C-8H-3,128-129	Working half	75.48	635.57	0.342	0.440	10.4	12.0	6.8
162-983C	162-983C-8H-4,32-33	Working half	76.03	640.36	0.316	0.444	9.3	12.1	8.9
162-983C	162-983C-8H-4,88-89	Working half	76.57	645.06	0.319	0.364	9.4	9.7	3.3
162-983C	162-983C-8H-4,140-141	Working half	77.12	649.86	0.292	0.402	8.3	10.8	7.8
162-983C	162-983C-8H-5,44-45	Working half	77.66	654.55	0.426	0.442	13.9	12.1	1.1
162-983C	162-983C-8H-5,100-101	Working half	78.20	659.25	0.306	0.387	8.9	10.4	5.8
162-983C	162-983C-8H-6,4-5	Working half	78.74	663.96	0.307	0.377	8.9	10.1	5.1
162-983C	162-983C-8H-6,56-57	Working half	79.29	668.72	0.208	0.350	4.8	9.3	10.6
162-983C	162-983C-8H-6,112-113	Working half	79.83	673.60	0.236	0.236	5.9	5.8	0.0
162-983C	162-983C-8H-7,16-17	Working half	80.38	678.55	0.234	0.352	5.9	9.3	8.8
162-983C	162-983C-8H-CC,8-9	Working half	80.92	682.95	0.369	0.388	11.5	10.4	1.3
162-983B	162-983B-9H-3,8-9	Working half	81.46	688.38	0.298	0.350	8.6	9.3	3.8
162-983C	162-983C-9H-1,16-17	Working half	82.01	691.68	0.272	0.329	7.5	8.6	4.3
162-983C	162-983C-9H-1,72-73	Working half	82.57	695.04	0.415	0.426	13.4	11.6	0.8
162-983C	162-983C-9H-1,132-133	Working half	83.14	698.46	0.426	0.439	13.9	12.0	0.9
162-983C	162-983C-9H-2,36-37	Working half	83.71	701.88	0.480	0.491	16.1	13.5	0.7
162-983C	162-983C-9H-2,96-97	Working half	84.29	705.15	0.307	0.346	8.9	9.2	2.9
162-983C	162-983C-9H-3,45-46	Working half	85.34	721.04	0.293	0.359	8.3	9.6	4.9
162-983C	162-983C-9H-3,100-101	Working half	85.86	727.83	0.304	0.396	8.8	10.7	6.6
162-983C	162-983C-9H-4,4-5	Working half	86.40	734.87	0.232	0.351	5.8	9.3	8.8
162-983C	162-983C-9H-4,45-46	Working half	86.84	740.61	0.417	0.481	13.5	13.2	4.3
162-983C	162-983C-9H-4,68-69	Working half	87.04	743.22	0.438	0.458	14.4	12.6	1.4
162-983C	162-983C-9H-4,92-93	Working half	87.28	746.35	0.352	0.433	10.8	11.8	5.6
162-983C	162-983C-9H-4,116-117	Working half	87.52	749.48	0.185	0.338	3.8	8.9	11.5
162-983C	162-983C-9H-5,32-33	Working half	88.18	754.16	0.378	0.425	11.9	11.5	3.3
162-983B	162-983B-10H-1,12-13	Working half	88.90	758.99	0.555	0.555	19.2	15.5	0.0
162-983C	162-983C-9H-6,28-29	Working half	89.62	763.82	0.474	0.492	15.9	13.6	1.2
162-983B	162-983B-10H-2,4-5	Working half	90.33	768.58	0.448	0.456	14.8	12.5	0.5
162-983B	162-983B-10H-2,74-75	Working half	91.03	773.27	0.263	0.347	7.1	9.2	6.2
162-983B	162-983B-10H-2,144-145	Working half	91.73	777.98					
162-983B	162-983B-10H-3,64-65	Working half	92.43	782.36	0.341	0.387	10.3	10.4	3.3
162-983C	162-983C-10H-2,62-63	Working half	93.15	789.18					
162-983C	162-983C-10H-2,97-98	Working half	93.50	796.08	0.096	0.346	0.1	9.2	18.6
162-983C	162-983C-10H-2-137	Working half	93.90	799.73	0.105	0.324	0.5	8.5	16.5
162-983C	162-983C-10H-3,17-18	Working half	94.20	801.80	0.323	0.371	9.6	9.9	3.5
162-983C	162-983C-10H-3,52-53	Working half	94.55	804.21	0.174	0.321	3.4	8.4	11.1
162-983C	162-983C-10H-3,112-113	Working half	95.15	808.36	0.367	0.395	11.4	10.6	2.0
162-983C	162-983C-10H-4,34-35	Working half	95.90	813.53	0.312	0.360	9.1	9.6	3.6
162-983C	162-983C-10H-4,107-108	Working half	96.60	818.36	0.308	0.357	9.0	9.5	3.6
162-983C	162-983C-10H-5,42-43	Working half	97.45	824.22	0.336	0.495	10.1	13.7	10.6
162-983C	162-983C-10H-5,117-118	Working half	98.20	829.40					
162-983C	162-983C-10H-6,52-53	Working half	99.05	835.26	0.063	0.310	-1.2	8.1	18.8
