/* DATA DESCRIPTION:
Citation:	Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): (Table A2) Sea surface temperature reconstruction of DSDP Site 94-607 in the North Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.52373, 
	In supplement to: Ruddiman, WF et al. (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean. Paleoceanography, 4(4), 353-412, https://doi.org/10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 41.001200 * LONGITUDE: -32.957300
	DATE/TIME START: 1983-07-06T00:00:00 * DATE/TIME END: 1983-07-06T00:00:00
	MINIMUM DEPTH, sediment/rock: 9.32 m * MAXIMUM DEPTH, sediment/rock: 73.22 m
Event(s):	94-607_Site * LATITUDE: 41.001200 * LONGITUDE: -32.957300 * DATE/TIME: 1983-07-06T00:00:00 * ELEVATION: -3427.0 m * Penetration: 5.957 m * Recovery: 4.537 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: https://doi.org/10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ruddiman, William F
	AGE [ka BP] (Age) * GEOCODE * PI: Ruddiman, William F
	Sample code/label (Sample label) * PI: Ruddiman, William F * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerinoides ruber white [%] (G. ruber w) * PI: Ruddiman, William F
	Globigerina bulloides [%] (G. bulloides) * PI: Ruddiman, William F
	Neogloboquadrina pachyderma sinistral [%] (N. pachyderma s) * PI: Ruddiman, William F
	Globorotalia inflata [%] (G. inflata) * PI: Ruddiman, William F
	Sea surface temperature, summer [°C] (SST sum) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
	Sea surface temperature, winter [°C] (SST win) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
Change history:	2021-07-07T11:07:20 - Depth [m] corrected for sample 94-607-4-6,31: 29.38 m (old) to 29.83 m (corrected value)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3542 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. ruber w [%]	G. bulloides [%]	N. pachyderma s [%]	G. inflata [%]	SST sum [°C]	SST win [°C]
9.32	245.6	94-607A-2-3,45	3.10	24.30	10.70	9.0	14.80	8.80
9.48	249.0	94-607A-2-3,61	3.30	22.80	5.80	12.0	15.90	10.20
9.62	250.8	94-607A-2-3,75	1.90	14.30	3.50	12.1	17.90	11.80
9.78	252.0	94-607A-2-3,91	0.50	13.80	0.80	12.3	17.80	12.10
9.92	253.0	94-607A-2-3,105	1.60	19.70	4.70	6.6	16.00	10.50
10.08	254.1	94-607A-2-3,121	3.00	17.40	11.40	8.7	16.30	10.00
10.22	255.1	94-607A-2-3,135	5.80	19.50	4.20	4.7	18.50	12.30
10.38	256.4	94-607A-2-4,1	1.20	16.40	18.70	9.0	14.40	8.30
10.52	258.5	94-607-2-1,55	4.00	15.00	7.20	7.6	18.00	11.60
10.59	259.5	94-607-2-1,61	8.80	10.70	1.70	28.3	23.90	16.40
10.76	263.7	94-607-2-1,78	1.90	14.20	4.70	9.4	17.70	11.60
10.89	268.4	94-607-2-1,91	2.20	21.10	4.40	15.6	15.90	10.40
11.03	274.5	94-607-2-1,106	2.70	9.70	0.30	18.2	20.50	13.80
11.18	280.5	94-607-2-1,121	3.00	12.20	2.70	21.6	19.70	13.00
11.34	286.1	94-607-2-1,136	4.00	13.20	1.80	23.5	20.30	13.60
11.48	289.8	94-607-2-2,1	6.20	13.10	1.40	13.1	20.60	14.20
11.63	292.5	94-607-2-2,16	2.20	15.50	8.50	9.6	16.90	10.60
11.78	295.1	94-607-2-2,31	4.40	14.60	10.20	13.5	17.80	11.20
12.01	299.8	94-607-2-2,53	2.50	11.30	2.60	21.1	19.70	12.90
12.09	301.9	94-607-2-2,61	1.10	13.50	2.20	11.3	18.00	12.00
12.26	306.4	94-607-2-2,78	4.10	17.40	2.20	16.5	18.50	12.60
12.38	309.6	94-607-2-2,91	4.30	8.70	2.30	18.3	21.10	14.00
12.53	313.9	94-607-2-2,106	2.80	16.00	2.80	16.5	18.10	12.10
12.68	318.7	94-607-2-2,121	2.10	19.50	1.70	9.6	16.70	11.40
12.76	320.9	94-607-2-2,128	2.00	18.90	5.10	9.5	16.40	10.70
12.84	323.5	94-607-2-2,136	2.20	8.00	2.50	21.4	20.60	13.40
12.98	327.6	94-607-2-3,1	10.50	8.40	1.70	19.6	23.60	16.40
13.13	330.1	94-607-2-3,16	10.00	10.40	5.20	20.4	22.40	15.20
13.28	332.4	94-607-2-3,31	3.00	16.90	13.90	8.6	15.90	9.60
13.51	336.0	94-607-2-3,53	1.40	30.90	20.70	7.9	11.70	5.40
13.59	337.4	94-607-2-3,61	1.20	8.30	4.70	22.4	19.90	12.30
13.76	339.7	94-607-2-3,78	1.60	23.50	8.70	9.1	14.30	8.70
13.88	341.4	94-607-2-3,91	1.20	10.80	4.80	15.2	18.50	11.80
14.03	344.0	94-607-2-3,106	1.10	13.90	10.10	8.2	16.60	10.20
