Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	d13C_C26FA 	d13C_C28FA 	d13C_C30FA 	d13C_C32FAC32	Mean_d13C_C26-C32FA 	Est_CO2_linear	Est_CO2_exponential 	
U1446	C	1	H	1	4	0.04	0.31	-25.39	-26.24	-26.85	-26.98	-26.36	242.37	240.04	
U1446	C	1	H	1	31	0.31	0.65	-26.07	-27.37	-28.12	-28.81	-27.59	254.99	253.67	
U1446	C	1	H	1	61	0.61	1.03	-25.97	-27.07	-27.53	-27.88	-27.11	250.05	248.25	
U1446	C	1	H	1	91	0.91	1.42	-25.29	-26.75	-26.32	-26.85	-26.30	241.73	239.37	
U1446	C	1	H	1	121	1.21	1.80	-25.44	-27.04	-26.76	-27.26	-26.63	245.06	242.88	
U1446	C	1	H	1	147	1.47	2.13	-25.29	-26.99	-26.95	-28.35	-26.89	247.81	245.82	
U1446	C	1	H	2	30	1.8	2.60	-25.07	-27.05	-27.08	-27.60	-26.70	245.82	243.69	
U1446	C	1	H	2	60	2.1	3.13	-25.72	-27.14	-27.64	-28.98	-27.37	252.70	251.14	
U1446	C	1	H	2	90	2.4	3.67	-25.67	-27.82	-28.86	-28.83	-27.80	257.08	256.01	
U1446	C	1	H	2	120	2.7	4.21	-25.64	-27.53	-28.20	-29.35	-27.68	255.88	254.67	
U1446	C	1	H	2	147	2.97	4.68	-25.69	-28.06	-27.51	-28.51	-27.44	253.45	251.97	
U1446	C	1	H	3	32	3.32	5.32	-25.43	-27.44	-28.33	-29.23	-27.61	255.16	253.87	
U1446	C	1	H	3	62	3.62	5.86	-25.67	-27.60	-28.61	-29.52	-27.85	257.64	256.63	
U1446	C	1	H	3	92	3.92	6.46	-25.77	-28.07	-28.22	-29.38	-27.86	257.75	256.76	
U1446	C	1	H	3	122	4.22	7.06	-26.69	-28.32	-28.34	-29.80	-28.29	262.14	261.74	
U1446	C	1	H	3	147	4.47	7.56	-25.98	-27.92	-28.40	-29.87	-28.04	259.61	258.85	
U1446	C	1	H	4	31	4.81	8.25	-26.89	-28.18	-28.99	-30.28	-28.58	265.19	265.26	
U1446	C	1	H	4	62	5.12	8.88	-26.76	-28.11	-29.05	-29.98	-28.47	264.05	263.94	
U1446	C	1	H	4	91	5.41	9.46	-26.49	-27.89	-28.25	-29.72	-28.09	260.06	259.37	
U1446	C	1	H	4	121	5.71	10.15	-25.89	-28.16	-28.09	-29.94	-28.02	259.37	258.58	
U1446	C	1	H	4	47	6.01	11.56	-25.44	-26.65	-26.73	-27.94	-26.69	245.74	243.61	
U1446	C	1	H	5	33	6.33	14.04	-24.66	-24.85	-25.38	-25.69	-25.14	229.83	227.21	
U1446	C	1	H	5	63	6.63	16.78	-22.60	-22.04	-23.42	-21.89	-22.49	202.53	201.62	
U1446	C	1	H	5	93	6.93	19.52	-22.85	-21.48	-21.91	-20.91	-21.79	195.31	195.35	
U1446	C	1	H	6	22	7.23	22.17	-21.37	-20.96	-21.74	-21.69	-21.44	191.76	192.33	
U1446	A	2	H	3	57	7.515	23.91	-23.05	-22.36	-22.76	-20.54	-22.17	199.30	198.79	
U1446	A	2	H	3	91	7.855	25.50	-23.20	-22.30	-22.11	-21.22	-22.21	199.64	199.08	
U1446	A	2	H	3	121	8.155	27.31	-23.07	-22.01	-21.62	-20.97	-21.92	196.65	196.50	
U1446	A	2	H	3	146	8.405	28.95	-22.75	-21.56	-21.93	-20.70	-21.73	194.77	194.89	
U1446	A	2	H	3	148	8.425	29.08	-23.45	-21.94	-23.17	-20.91	-22.37	201.29	200.53	
U1446	A	2	H	4	33	8.775	31.38	-23.67	-22.61	-23.45	-21.80	-22.88	206.56	205.21	
U1446	A	2	H	4	63	9.075	33.34	-23.91	-23.06	-23.52	-22.30	-23.19	209.79	208.13	
U1446	A	2	H	4	93	9.375	35.31	-24.49	-23.34	-23.07	-22.40	-23.32	211.12	209.35	
U1446	A	2	H	4	123	9.675	37.28	-23.25	-22.36	-22.98	-21.38	-22.49	202.57	201.66	
U1446	A	2	H	4	148	9.925	38.92	-25.08	-23.64	-23.36	-22.99	-23.77	215.67	213.56	
U1446	A	2	H	5	33	10.275	41.21	-23.93	-23.50	-23.30	-22.95	-23.42	212.07	210.22	
U1446	A	2	H	5	63	10.575	43.18	-24.76	-24.55	-23.50	-23.36	-24.04	218.50	216.22	
U1446	A	2	H	5	93	10.875	45.15	-23.32	-22.60	-22.96	-22.00	-22.72	204.88	203.71	
U1446	A	2	H	5	123	11.175	46.69	-23.73	-23.11	-21.89	-22.18	-22.73	204.99	203.80	
U1446	A	2	H	6	5	11.495	48.26	-25.41	-24.85	-23.22	-23.64	-24.28	220.95	218.55	
U1446	A	2	H	6	36	11.805	49.78	-25.60	-24.96	-23.48	-23.40	-24.36	221.74	219.31	
U1446	A	2	H	6	65	12.095	51.21	-24.57	-23.92	-22.57	-22.79	-23.46	212.54	210.66	
